Ticker,Name,Price,Score,Signal,Strength,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,AUM,Expense,Yield,Beta
EWZS,iShares MSCI Brazil Small-Cap ,$15.14,95,STRONG BUY,5,63.2,Bear,29.4,73.2,2.80x,+15.6%,27.3%,1.74,-12.0%,+12.1%,+13.5%,+25.4%,$0.22B,N/A,3.38%,N/A
EWH,iShares MSCI Hong Kong ETF,$23.70,85,STRONG BUY,5,67.2,Bear,34.2,89.6,0.28x,+6.8%,16.2%,1.86,-6.5%,+6.2%,+9.8%,+16.6%,$0.72B,N/A,4.71%,N/A
EWP,iShares MSCI Spain ETF,$57.29,85,STRONG BUY,5,62.2,Bull,27.1,98.9,0.20x,+13.6%,14.4%,2.88,-6.0%,+5.1%,+15.0%,+23.4%,$1.88B,N/A,2.17%,N/A
EWZ,iShares MSCI Brazil ETF,$38.06,80,STRONG BUY,5,68.2,Bear,39.5,82.5,0.31x,+32.7%,23.3%,3.10,-8.1%,+15.1%,+22.0%,+42.5%,$8.75B,N/A,4.45%,N/A
IAU,iShares Gold Trust,$95.38,75,STRONG BUY,5,58.9,Bear,36.7,49.5,0.21x,+41.2%,28.6%,2.98,-13.8%,+12.4%,+26.4%,+51.0%,$79.75B,N/A,N/A,N/A
COPX,Global X Copper Miners ETF,$88.51,75,STRONG BUY,5,58.1,Bear,35.5,39.2,0.23x,+89.3%,38.8%,3.73,-13.7%,+14.1%,+48.8%,+99.1%,$7.26B,N/A,2.22%,N/A
EWK,iShares MSCI Belgium ETF,$26.91,75,STRONG BUY,5,75.1,Bear,46.4,100.0,0.19x,+10.4%,11.4%,3.14,-4.2%,+8.8%,+14.2%,+20.2%,$0.03B,N/A,1.61%,N/A
ECH,iShares MSCI Chile ETF,$45.91,75,STRONG BUY,5,59.4,Bear,37.8,40.7,0.22x,+36.6%,21.6%,3.58,-7.4%,+7.1%,+28.7%,+46.4%,$1.32B,N/A,1.79%,N/A
URA,Global X Uranium ETF,$54.13,75,STRONG BUY,5,52.9,Bear,33.4,38.2,0.28x,+33.3%,54.1%,1.57,-28.4%,+7.6%,+18.6%,+43.1%,$7.73B,N/A,3.73%,N/A
COLO,Global X MSCI Colombia ETF,$41.55,75,STRONG BUY,5,58.1,Bear,35.6,45.4,0.12x,+30.7%,19.4%,3.54,-8.6%,+9.5%,+17.5%,+40.5%,$0.15B,N/A,6.36%,N/A
