Ticker,Name,Sector,Price,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
CSCO,"Cisco Systems, Inc.",Technology,$75.00,100,STRONG BUY,01/07,FALSE,40.5,Bear,37.7,6.5,2.59x,4.00%,28.40%,0.6,-13.60%,0.80%,1.90%,9.50%,$296.33B,26.98,$2.78,1.92%,0.86
ON,ON Semiconductor Corporat,Technology,$70.63,95,STRONG BUY,07/07,TRUE,69.5,Bear,27.7,81.3,1.24x,32.40%,45.30%,1.54,-18.50%,16.60%,43.40%,36.80%,$28.42B,243.55,$0.29,N/A,1.54
ODFL,Old Dominion Freight Line,Industrials,$185.51,95,STRONG BUY,03/07,FALSE,53.7,Bear,40.2,40.1,2.26x,17.60%,37.40%,1.17,-20.50%,6.90%,33.90%,23.20%,$38.99B,38.33,$4.84,0.58%,1.27
KEYS,"Keysight Technologies, In",Technology,$229.48,95,STRONG BUY,05/07,TRUE,59.6,Bear,29.8,56.5,1.27x,31.10%,30.90%,2.02,-10.50%,9.60%,24.70%,39.50%,$39.43B,45.62,$5.03,N/A,1.2
ILMN,"Illumina, Inc.",Healthcare,$114.44,85,STRONG BUY,02/07,FALSE,26.7,Bear,34,4.4,1.33x,9.40%,53.20%,0.68,-25.70%,-20.50%,-6.20%,14.30%,$17.59B,21,$5.45,N/A,1.45
MCHP,Microchip Technology Inco,Technology,$78.92,85,STRONG BUY,06/07,TRUE,58.6,Bear,33.6,55.6,1.14x,18.20%,43.90%,1.07,-29.10%,5.70%,43.10%,21.50%,$42.71B,N/A,$-0.30,2.25%,1.44
GILD,"Gilead Sciences, Inc.",Healthcare,$151.81,85,STRONG BUY,05/07,TRUE,67.7,Bear,46,76.8,1.11x,24.30%,26.00%,1.96,-7.00%,22.40%,23.80%,29.30%,$188.40B,22.36,$6.79,2.03%,0.39
ROST,"Ross Stores, Inc.",Consumer Cyclical,$194.85,85,STRONG BUY,07/07,TRUE,63.9,Bear,31,81.3,0.78x,26.60%,21.00%,2.53,-5.40%,1.60%,19.90%,32.90%,$63.37B,30.49,$6.39,0.82%,0.99
WERN,"Werner Enterprises, Inc.",Industrials,$32.61,85,STRONG BUY,02/07,FALSE,44,Bear,31.1,20.9,1.70x,11.10%,40.00%,0.84,-21.30%,-1.50%,30.30%,16.30%,$1.95B,N/A,$-0.24,1.63%,1.07
SBUX,Starbucks Corporation,Consumer Cyclical,$96.76,80,STRONG BUY,05/07,TRUE,57,Bear,40.7,43.2,0.82x,0.40%,28.40%,0.36,-15.20%,6.20%,11.70%,5.40%,$110.24B,80.63,$1.20,2.48%,0.94
MAR,"Marriott International, I",Consumer Cyclical,$355.08,80,STRONG BUY,05/07,TRUE,71.4,Bear,28.2,74.5,1.07x,28.60%,27.20%,2.12,-7.40%,11.10%,22.00%,33.90%,$94.09B,37.3,$9.52,0.74%,1.1
FANG,"Diamondback Energy, Inc.",Energy,$167.42,80,STRONG BUY,06/07,TRUE,61.4,Bear,31.9,84,1.13x,17.50%,29.50%,1.39,-12.40%,8.90%,15.30%,19.80%,$47.97B,11.75,$14.25,2.37%,0.58
WFG,West Fraser Timber Co. Lt,Basic Materials,$73.37,75,STRONG BUY,05/07,TRUE,58.9,Bear,36.6,60.9,1.51x,-7.30%,32.20%,-0.13,-24.50%,8.10%,22.50%,-2.00%,$5.75B,N/A,$-12.08,1.71%,1.27
LRCX,Lam Research Corporation,Technology,$231.29,75,STRONG BUY,05/07,TRUE,56.9,Bear,33.4,56.5,0.82x,113.70%,52.50%,3.19,-16.10%,10.80%,43.50%,116.20%,$290.51B,47.4,$4.88,0.42%,1.78
MU,"Micron Technology, Inc.",Technology,$413.97,75,STRONG BUY,05/07,TRUE,60.3,Bear,38.2,54.7,1.09x,229.70%,64.40%,4.04,-20.50%,24.20%,69.10%,230.70%,$465.93B,39.39,$10.51,0.11%,1.5
MNST,Monster Beverage Corporat,Consumer Defensive,$81.17,75,STRONG BUY,05/07,TRUE,57.1,Bear,34.1,44.2,0.70x,22.80%,20.50%,2.3,-5.60%,4.40%,15.20%,26.40%,$79.30B,46.12,$1.76,N/A,0.45
PCAR,PACCAR Inc,Industrials,$124.84,75,STRONG BUY,05/07,TRUE,56.8,Bear,41,56.3,1.07x,23.00%,26.10%,1.87,-9.60%,5.20%,28.70%,27.60%,$65.59B,27.68,$4.51,1.02%,1.04
ZM,"Zoom Communications, Inc.",Technology,$92.24,70,STRONG BUY,03/07,FALSE,54.8,Bear,17.4,52.2,1.02x,23.70%,39.10%,1.38,-10.30%,11.50%,8.90%,28.40%,$27.61B,17.95,$5.14,N/A,0.9
MRNA,"Moderna, Inc.",Healthcare,$40.11,70,STRONG BUY,02/07,FALSE,48.3,Bear,32.7,23.8,0.60x,45.40%,69.00%,1.47,-22.70%,-1.20%,50.20%,50.30%,$15.67B,N/A,$-8.06,N/A,1.34
NXPI,NXP Semiconductors N.V.,Technology,$242.19,70,STRONG BUY,05/07,TRUE,57.1,Bear,18.4,71.3,1.03x,2.30%,37.70%,0.44,-22.60%,0.60%,19.20%,5.60%,$61.06B,30.5,$7.94,1.62%,1.46
GOOG,Alphabet Inc.,Communication Servic,$309.37,70,STRONG BUY,02/07,FALSE,34.5,Bear,27.2,5.7,1.12x,48.90%,28.20%,3.07,-10.30%,-8.00%,7.70%,52.00%,$3742.45B,28.65,$10.80,0.27%,1.09
FTNT,"Fortinet, Inc.",Technology,$84.26,70,STRONG BUY,05/07,TRUE,56.3,Bear,23,61.7,1.01x,2.50%,29.80%,0.49,-13.90%,10.30%,2.60%,9.10%,$64.57B,34.82,$2.42,N/A,1.05
GS,"The Goldman Sachs Group, ",Financial Services,$904.55,65,BUY,01/07,FALSE,44.6,Bear,20.3,30.4,1.19x,19.00%,26.50%,1.6,-8.80%,-3.00%,8.40%,22.30%,$273.83B,17.64,$51.29,1.48%,1.31
FAST,Fastenal Company,Industrials,$45.54,65,BUY,04/07,TRUE,55.2,Bear,26.1,49,0.98x,-10.20%,25.20%,-0.48,-21.90%,7.90%,11.80%,-5.50%,$52.29B,41.78,$1.09,1.86%,0.89
RULE,Adaptive Core ETF,N/A,$25.14,65,BUY,04/07,TRUE,53.5,Bear,21.9,42.9,0.52x,6.50%,18.00%,1.06,-8.00%,3.10%,8.40%,10.60%,N/A,29.53,N/A,N/A,N/A
TSM,Taiwan Semiconductor Manu,Technology,$368.10,65,BUY,06/07,TRUE,66.9,Bear,23.3,80.5,1.04x,49.60%,34.70%,2.58,-10.50%,12.50%,27.00%,53.60%,$1909.15B,34.96,$10.53,N/A,1.27
REGN,Regeneron Pharmaceuticals,Healthcare,$783.65,65,BUY,05/07,TRUE,56.7,Bear,13.5,80,0.92x,36.20%,34.80%,2.04,-12.00%,3.90%,15.10%,38.80%,$82.85B,18.9,$41.46,0.45%,0.41
TRIP,"Tripadvisor, Inc.",Consumer Cyclical,$10.32,65,BUY,02/07,FALSE,20.8,Bear,28.1,13.8,3.65x,-47.00%,49.80%,-2.06,-46.10%,-25.10%,-34.90%,-42.80%,$1.21B,17.2,$0.60,N/A,N/A
PSTG,"Pure Storage, Inc.",Technology,$70.81,65,BUY,03/07,FALSE,49,Bear,11,53,1.20x,15.20%,77.20%,0.8,-34.90%,0.30%,-20.10%,22.40%,$23.38B,186.34,$0.38,N/A,1.27
AAPL,Apple Inc.,Technology,$261.73,60,BUY,0/7,FALSE,45,Bear,23.8,39.1,1.37x,8.60%,21.80%,1.09,-13.80%,0.80%,-4.20%,12.70%,$3846.89B,33.13,$7.90,0.37%,1.11
ZUMZ,Zumiez Inc.,Consumer Cyclical,$24.03,60,BUY,02/07,FALSE,39.1,Bear,25.9,18.2,0.58x,46.60%,47.00%,1.92,-21.60%,-4.10%,4.10%,53.30%,$0.41B,58.61,$0.41,N/A,0.89
