Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
LRCX,Lam Research Corporation,Technology,$238.37,82.65,85,STRONG BUY,5/7,True,60.0,Bear,33.2,71.4,0.31x,+120.1%,52.4%,3.29,-16.1%,+9.6%,+55.7%,+140.4%,$299.39B,48.85,$4.88,0.42%,1.78
FANG,"Diamondback Energy, Inc.",Energy,$168.35,68.81,80,STRONG BUY,6/7,True,62.4,Bear,32.1,87.4,0.17x,+18.0%,29.4%,1.42,-12.4%,+11.6%,+16.6%,+20.9%,$48.24B,11.81,$14.25,2.39%,0.58
COST,Costco Wholesale Corporat,Consumer Defensive,$1018.99,66.16,80,STRONG BUY,7/7,True,68.5,Bull,32.8,99.2,0.36x,+0.4%,19.2%,0.43,-14.4%,+6.7%,+10.3%,+5.1%,$452.39B,54.55,$18.68,0.51%,1.01
KEYS,"Keysight Technologies, In",Technology,$234.62,70.24,80,STRONG BUY,5/7,True,63.6,Bear,30.1,72.8,0.12x,+33.8%,30.9%,2.15,-10.5%,+9.4%,+31.5%,+43.6%,$40.31B,46.64,$5.03,N/A,1.20
HOLX,"Hologic, Inc.",Healthcare,$75.08,57.51,75,STRONG BUY,4/7,True,56.1,Bull,15.2,68.0,0.21x,+4.8%,17.9%,0.91,-7.9%,+0.1%,+1.1%,+10.7%,$16.76B,31.16,$2.41,N/A,0.73
MRNA,"Moderna, Inc.",Healthcare,$44.12,60.65,75,STRONG BUY,3/7,False,58.1,Bear,31.8,51.4,0.51x,+60.1%,70.0%,1.72,-22.7%,+12.1%,+76.8%,+57.5%,$17.23B,N/A,$-8.06,N/A,1.34
MCHP,Microchip Technology Inco,Technology,$78.77,62.85,75,STRONG BUY,6/7,True,58.2,Bear,33.7,54.1,0.24x,+17.7%,43.8%,1.06,-29.1%,+5.8%,+45.0%,+21.8%,$42.63B,N/A,$-0.30,2.31%,1.44
MU,"Micron Technology, Inc.",Technology,$407.25,85.12,75,STRONG BUY,6/7,True,58.2,Bear,37.5,47.3,0.36x,+224.0%,64.3%,3.97,-20.5%,+21.0%,+71.9%,+237.3%,$458.36B,38.75,$10.51,0.11%,1.50
MNST,Monster Beverage Corporat,Consumer Defensive,$81.76,72.85,75,STRONG BUY,6/7,True,59.7,Bear,33.5,65.2,0.14x,+23.4%,20.5%,2.36,-5.6%,+4.9%,+15.0%,+26.5%,$79.88B,46.45,$1.76,N/A,0.45
ON,ON Semiconductor Corporat,Technology,$70.93,71.97,75,STRONG BUY,7/7,True,70.0,Bear,28.7,83.2,0.18x,+32.7%,45.1%,1.55,-18.5%,+17.7%,+47.4%,+38.8%,$28.54B,244.60,$0.29,N/A,1.54
PCAR,PACCAR Inc,Industrials,$126.50,67.11,75,STRONG BUY,5/7,True,60.2,Bear,40.0,67.2,0.18x,+24.4%,26.0%,1.96,-9.6%,+4.0%,+33.0%,+31.2%,$66.46B,28.05,$4.51,1.06%,1.04
ROST,"Ross Stores, Inc.",Consumer Cyclical,$195.82,77.65,75,STRONG BUY,7/7,True,65.5,Bear,31.8,89.1,0.11x,+26.9%,20.9%,2.56,-5.4%,+1.0%,+21.3%,+33.9%,$63.69B,30.64,$6.39,0.81%,0.99
VRTX,Vertex Pharmaceuticals In,Healthcare,$496.42,64.48,70,STRONG BUY,5/7,True,64.3,Bull,15.9,97.4,0.52x,+21.4%,26.4%,1.75,-9.3%,+13.1%,+14.2%,+26.4%,$127.28B,32.45,$15.30,N/A,0.32
PSTG,"Pure Storage, Inc.",Technology,$73.18,49.65,70,STRONG BUY,4/7,True,52.5,Bear,10.2,71.5,0.20x,+18.9%,77.0%,0.89,-34.9%,+1.1%,-12.8%,+24.8%,$24.16B,192.58,$0.38,N/A,1.27
ZM,"Zoom Communications, Inc.",Technology,$91.96,55.79,70,STRONG BUY,3/7,False,54.2,Bear,16.5,45.9,0.29x,+23.0%,38.9%,1.36,-10.3%,+12.8%,+9.4%,+25.7%,$27.52B,17.89,$5.14,N/A,0.90
MAR,"Marriott International, I",Consumer Cyclical,$357.27,67.29,70,STRONG BUY,5/7,True,72.3,Bear,30.1,78.2,0.18x,+29.1%,27.1%,2.16,-7.4%,+9.7%,+24.6%,+35.4%,$94.67B,37.53,$9.52,0.74%,1.10
TSM,Taiwan Semiconductor Manu,Technology,$367.06,70.55,70,STRONG BUY,5/7,True,66.2,Bear,22.0,78.8,0.32x,+48.9%,34.5%,2.56,-10.5%,+7.4%,+30.4%,+54.6%,$1903.76B,34.86,$10.53,N/A,1.27
FTNT,"Fortinet, Inc.",Technology,$85.05,53.3,70,STRONG BUY,4/7,True,57.9,Bear,22.6,68.7,0.20x,+3.2%,29.7%,0.55,-13.9%,+11.4%,+5.0%,+7.5%,$65.17B,35.14,$2.42,N/A,1.05
