Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
MU,"Micron Technology, Inc.",Technology,$408.39,85.16,75,STRONG BUY,6/7,True,58.6,Bear,37.5,48.6,0.37x,+224.8%,64.3%,3.98,-20.5%,+21.3%,+72.4%,+238.2%,$459.65B,38.86,$10.51,0.11%,1.50,STRONG EDGE,Standard position size
LRCX,Lam Research Corporation,Technology,$237.33,82.59,85,STRONG BUY,5/7,True,59.6,Bear,33.2,69.3,0.33x,+119.0%,52.4%,3.27,-16.1%,+9.1%,+55.0%,+139.4%,$298.09B,48.63,$4.88,0.42%,1.78,STRONG EDGE,Standard position size
ROST,"Ross Stores, Inc.",Consumer Cyclical,$196.29,77.76,75,STRONG BUY,7/7,True,66.3,Bear,31.8,92.9,0.12x,+27.1%,21.0%,2.59,-5.4%,+1.3%,+21.6%,+34.2%,$63.84B,30.72,$6.39,0.81%,0.99,STRONG EDGE,Standard position size
MNST,Monster Beverage Corporat,Consumer Defensive,$81.94,72.94,75,STRONG BUY,6/7,True,60.4,Bear,33.5,70.3,0.15x,+23.6%,20.5%,2.38,-5.6%,+5.2%,+15.3%,+26.8%,$80.05B,46.55,$1.76,N/A,0.45,MODERATE EDGE,"Smaller position, tighter stop"
ON,ON Semiconductor Corporat,Technology,$70.84,71.91,75,STRONG BUY,7/7,True,69.9,Bear,28.7,82.6,0.20x,+32.4%,45.1%,1.55,-18.5%,+17.5%,+47.2%,+38.7%,$28.50B,244.28,$0.29,N/A,1.54,MODERATE EDGE,"Smaller position, tighter stop"
TSM,Taiwan Semiconductor Manu,Technology,$365.73,70.38,70,STRONG BUY,5/7,True,65.2,Bear,22.0,76.6,0.35x,+48.2%,34.6%,2.54,-10.5%,+7.1%,+29.9%,+54.0%,$1896.86B,34.73,$10.53,N/A,1.27,MODERATE EDGE,"Smaller position, tighter stop"
KEYS,"Keysight Technologies, In",Technology,$234.72,70.24,80,STRONG BUY,5/7,True,63.7,Bear,30.1,73.2,0.16x,+33.8%,30.9%,2.15,-10.5%,+9.4%,+31.6%,+43.6%,$40.33B,46.66,$5.03,N/A,1.20,MODERATE EDGE,"Smaller position, tighter stop"
GILD,"Gilead Sciences, Inc.",Healthcare,$155.45,69.04,65,BUY,6/7,True,70.7,Bear,47.1,90.7,0.21x,+27.0%,26.1%,2.12,-7.0%,+28.2%,+25.0%,+33.1%,$192.91B,22.89,$6.79,2.08%,0.39,MODERATE EDGE,"Smaller position, tighter stop"
REGN,Regeneron Pharmaceuticals,Healthcare,$801.39,68.14,60,BUY,6/7,True,61.2,Bear,13.3,97.6,0.25x,+39.0%,34.8%,2.16,-12.0%,+8.0%,+15.5%,+38.5%,$84.72B,19.33,$41.46,0.45%,0.41,MODERATE EDGE,"Smaller position, tighter stop"
FANG,"Diamondback Energy, Inc.",Energy,$169.50,67.56,75,STRONG BUY,6/7,True,63.6,Bear,32.1,94.0,0.18x,+18.7%,29.4%,1.46,-12.4%,+12.4%,+17.4%,+21.7%,$48.57B,11.89,$14.25,2.39%,0.58,MODERATE EDGE,"Smaller position, tighter stop"
PCAR,PACCAR Inc,Industrials,$126.88,67.22,75,STRONG BUY,5/7,True,60.9,Bear,40.0,69.6,0.19x,+24.7%,26.1%,1.98,-9.6%,+4.3%,+33.4%,+31.6%,$66.66B,28.13,$4.51,1.06%,1.04,MODERATE EDGE,"Smaller position, tighter stop"
MAR,"Marriott International, I",Consumer Cyclical,$356.76,67.21,70,STRONG BUY,5/7,True,72.1,Bear,30.1,77.3,0.20x,+28.8%,27.1%,2.15,-7.4%,+9.5%,+24.4%,+35.2%,$94.53B,37.47,$9.52,0.74%,1.10,MODERATE EDGE,"Smaller position, tighter stop"
COST,Costco Wholesale Corporat,Consumer Defensive,$1018.25,66.11,80,STRONG BUY,7/7,True,68.4,Bull,32.8,96.7,0.40x,+0.2%,19.2%,0.43,-14.4%,+6.6%,+10.2%,+5.0%,$452.06B,54.51,$18.68,0.51%,1.01,MODERATE EDGE,"Smaller position, tighter stop"
VRTX,Vertex Pharmaceuticals In,Healthcare,$494.09,64.32,70,STRONG BUY,5/7,True,63.5,Bull,15.9,92.0,0.56x,+20.7%,26.2%,1.73,-9.3%,+12.6%,+13.7%,+25.8%,$126.68B,32.29,$15.30,N/A,0.32,WEAK EDGE,Paper trade or skip
MCHP,Microchip Technology Inco,Technology,$78.89,62.89,75,STRONG BUY,6/7,True,58.6,Bear,33.7,55.3,0.25x,+17.8%,43.7%,1.07,-29.1%,+6.0%,+45.2%,+22.0%,$42.69B,N/A,$-0.30,2.31%,1.44,WEAK EDGE,Paper trade or skip
MRNA,"Moderna, Inc.",Healthcare,$44.06,60.59,75,STRONG BUY,3/7,False,58.0,Bear,31.8,50.9,0.56x,+59.7%,70.0%,1.71,-22.7%,+11.9%,+76.5%,+57.2%,$17.21B,N/A,$-8.06,N/A,1.34,WEAK EDGE,Paper trade or skip
MDLZ,"Mondelez International, I",Consumer Defensive,$62.23,58.34,60,BUY,7/7,True,74.9,Bear,30.0,94.1,0.21x,-2.3%,19.8%,0.18,-18.6%,+8.6%,+10.2%,+2.0%,$80.30B,32.93,$1.89,3.14%,0.40,WEAK EDGE,Paper trade or skip
GOOG,Alphabet Inc.,Communication Servic,$306.38,58.18,70,STRONG BUY,2/7,False,32.6,Bear,28.5,5.4,0.33x,+47.0%,28.2%,2.98,-11.2%,-8.0%,+9.8%,+49.8%,$3706.04B,28.37,$10.80,0.27%,1.09,WEAK EDGE,Paper trade or skip
INTC,Intel Corporation,Technology,$47.08,57.53,50,HOLD,3/7,False,51.3,Bear,19.0,47.4,0.26x,+107.7%,71.8%,2.40,-21.8%,-2.6%,+31.1%,+91.7%,$235.27B,N/A,$-0.06,N/A,1.38,WEAK EDGE,Paper trade or skip
HOLX,"Hologic, Inc.",Healthcare,$75.07,57.49,75,STRONG BUY,4/7,True,55.8,Bull,15.2,66.9,0.22x,+4.7%,17.9%,0.91,-7.9%,+0.1%,+1.1%,+10.7%,$16.76B,31.15,$2.41,N/A,0.73,WEAK EDGE,Paper trade or skip
ZUMZ,Zumiez Inc.,Consumer Cyclical,$24.86,56.71,70,STRONG BUY,3/7,False,47.8,Bull,26.5,66.9,0.23x,+51.4%,47.0%,2.05,-21.6%,-3.9%,+9.5%,+60.5%,$0.42B,60.63,$0.41,N/A,0.89,WEAK EDGE,Paper trade or skip
ODFL,Old Dominion Freight Line,Industrials,$194.21,56.15,65,BUY,4/7,True,60.2,Bear,38.7,62.5,0.17x,+22.9%,37.7%,1.39,-20.5%,+9.0%,+43.7%,+29.0%,$40.80B,40.11,$4.84,0.60%,1.27,WEAK EDGE,Paper trade or skip
ZM,"Zoom Communications, Inc.",Technology,$91.97,55.78,70,STRONG BUY,3/7,False,54.2,Bear,16.5,46.0,0.30x,+22.9%,38.9%,1.36,-10.3%,+12.8%,+9.4%,+25.8%,$27.53B,17.89,$5.14,N/A,0.90,WEAK EDGE,Paper trade or skip
FTNT,"Fortinet, Inc.",Technology,$85.40,53.44,70,STRONG BUY,4/7,True,58.6,Bear,22.6,71.8,0.22x,+3.5%,29.7%,0.57,-13.9%,+11.9%,+5.4%,+8.0%,$65.44B,35.29,$2.42,N/A,1.05,NO EDGE,Do not trade
RULE,Adaptive Core ETF,N/A,$25.14,51.64,65,BUY,3/7,False,53.5,Bear,20.6,42.9,0.00x,+6.1%,17.9%,1.06,-8.0%,+2.1%,+11.1%,+11.5%,N/A,29.53,N/A,N/A,N/A,NO EDGE,Do not trade
NXPI,NXP Semiconductors N.V.,Technology,$241.41,51.63,60,BUY,5/7,True,56.5,Bear,19.2,69.7,0.10x,+1.5%,37.5%,0.42,-22.6%,+1.2%,+20.5%,+6.5%,$60.86B,30.40,$7.94,1.67%,1.46,NO EDGE,Do not trade
PSTG,"Pure Storage, Inc.",Technology,$73.10,49.61,70,STRONG BUY,4/7,True,52.4,Bear,10.2,70.8,0.22x,+18.6%,77.0%,0.88,-34.9%,+1.0%,-12.9%,+24.7%,$24.14B,192.37,$0.38,N/A,1.27,NO EDGE,Do not trade
KLAC,KLA Corporation,Technology,$1463.30,49.6,60,BUY,2/7,False,53.0,Bear,16.2,43.7,0.21x,+50.6%,49.1%,1.97,-22.4%,-5.3%,+26.2%,+67.9%,$192.27B,42.55,$34.39,0.51%,1.46,NO EDGE,Do not trade
WERN,"Werner Enterprises, Inc.",Industrials,$33.59,47.77,70,STRONG BUY,2/7,False,48.5,Bear,30.6,34.1,0.14x,+14.2%,40.1%,0.98,-21.3%,+0.1%,+36.9%,+21.1%,$2.01B,N/A,$-0.24,1.72%,1.07,NO EDGE,Do not trade
MDB,"MongoDB, Inc.",Technology,$361.05,47.33,50,HOLD,2/7,False,44.6,Bear,26.4,39.2,0.21x,+69.9%,75.3%,1.77,-25.9%,-7.2%,+2.8%,+65.4%,$29.39B,N/A,$-0.82,N/A,1.39,NO EDGE,Do not trade
CHTR,"Charter Communications, I",Communication Servic,$240.16,45.76,55,WEAK BUY,6/7,True,67.5,Bear,36.6,86.8,0.18x,-14.9%,34.7%,-0.53,-35.3%,+23.4%,+17.3%,-10.3%,$31.08B,6.63,$36.21,N/A,1.05,NO EDGE,Do not trade
SBUX,Starbucks Corporation,Consumer Cyclical,$95.58,45.61,50,HOLD,4/7,True,53.7,Bear,40.4,35.0,0.19x,-1.2%,28.3%,0.27,-15.2%,+2.5%,+11.4%,+6.3%,$108.90B,79.65,$1.20,2.56%,0.94,NO EDGE,Do not trade
CSCO,"Cisco Systems, Inc.",Technology,$76.03,45.53,75,STRONG BUY,2/7,False,43.0,Bear,36.3,17.6,0.48x,+5.1%,28.4%,0.69,-13.6%,+1.0%,-1.2%,+16.2%,$300.36B,27.35,$2.78,2.19%,0.86,NO EDGE,Do not trade
FAST,Fastenal Company,Industrials,$45.85,45.02,55,WEAK BUY,5/7,True,56.6,Bear,25.5,54.5,0.20x,-10.0%,25.2%,-0.43,-21.9%,+5.9%,+13.1%,-5.2%,$52.64B,42.06,$1.09,1.92%,0.89,NO EDGE,Do not trade
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,$29.83,44.73,50,HOLD,6/7,True,69.2,Bear,19.7,91.3,0.20x,-17.0%,31.4%,-0.77,-27.5%,+6.9%,+11.4%,-12.8%,$40.52B,25.71,$1.16,3.08%,0.35,NO EDGE,Do not trade
WFG,West Fraser Timber Co. Lt,Basic Materials,$73.93,44.57,55,WEAK BUY,5/7,True,60.2,Bear,35.5,67.0,0.34x,-6.9%,32.1%,-0.08,-24.5%,+6.7%,+23.6%,-0.7%,$5.80B,N/A,$-12.08,1.74%,1.27,NO EDGE,Do not trade
TSLA,"Tesla, Inc.",Consumer Cyclical,$416.94,43.75,50,HOLD,3/7,False,44.7,Bear,23.4,55.8,0.35x,+18.7%,44.5%,1.09,-18.9%,-4.9%,+3.7%,+26.1%,$1564.56B,386.06,$1.08,N/A,1.89,NO EDGE,Do not trade
GS,"The Goldman Sachs Group, ",Financial Services,$901.49,43.24,60,BUY,1/7,False,44.0,Bear,19.8,32.7,0.52x,+18.2%,26.5%,1.57,-8.8%,-7.6%,+12.5%,+24.6%,$272.90B,17.58,$51.29,1.55%,1.31,NO EDGE,Do not trade
NVAX,"Novavax, Inc.",Healthcare,$8.85,43.22,60,BUY,4/7,True,54.6,Bear,26.9,42.7,0.22x,-4.2%,65.0%,0.28,-35.9%,+13.7%,+25.3%,-7.6%,$1.44B,4.40,$2.01,N/A,2.58,NO EDGE,Do not trade
