Ticker,Name,Price,Score,Signal,Strength,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,AUM,Expense,Yield,Beta
EWL,iShares MSCI Switzerland ETF,$64.26,85,STRONG BUY,5,68.8,Bear,25.6,91.6,0.92x,+9.2%,12.7%,2.40,-4.7%,+6.8%,+13.1%,+17.0%,$1.66B,N/A,1.66%,N/A
EWC,iShares MSCI Canada ETF,$56.46,85,STRONG BUY,5,57.9,Bull,21.8,72.7,0.65x,+13.3%,14.6%,2.60,-4.2%,+3.1%,+13.2%,+21.2%,$4.02B,N/A,1.44%,N/A
EWK,iShares MSCI Belgium ETF,$27.44,85,STRONG BUY,5,78.5,Bear,54.6,88.2,1.61x,+13.2%,11.5%,3.25,-4.2%,+9.5%,+15.0%,+21.1%,$0.03B,N/A,1.61%,N/A
ECH,iShares MSCI Chile ETF,$43.69,80,STRONG BUY,5,45.8,Bear,28.7,12.2,0.45x,+28.3%,22.5%,2.79,-7.8%,-0.5%,+17.5%,+36.2%,$1.32B,N/A,1.79%,N/A
EWZ,iShares MSCI Brazil ETF,$38.03,75,STRONG BUY,5,61.1,Bear,38.7,48.6,0.80x,+36.0%,22.9%,3.23,-8.1%,+13.1%,+20.1%,+43.9%,$8.75B,N/A,4.45%,N/A
GREK,Global X MSCI Greece ETF,$72.89,75,STRONG BUY,5,52.1,Bear,33.9,41.8,0.90x,+6.4%,18.5%,1.43,-8.5%,+4.3%,+15.4%,+14.2%,$0.34B,N/A,3.09%,N/A
EWZS,iShares MSCI Brazil Small-Cap ,$15.10,75,STRONG BUY,5,57.9,Bear,27.8,47.7,0.82x,+17.2%,26.7%,1.75,-12.0%,+12.1%,+13.2%,+25.1%,$0.22B,N/A,3.38%,N/A
EWH,iShares MSCI Hong Kong ETF,$23.56,75,STRONG BUY,5,59.3,Bear,35.8,63.3,1.07x,+7.4%,16.3%,1.72,-6.5%,+5.7%,+8.7%,+15.3%,$0.72B,N/A,4.71%,N/A
EWD,iShares MSCI Sweden ETF,$53.50,75,STRONG BUY,5,57.9,Bear,28.7,57.6,0.60x,+8.4%,15.4%,1.93,-7.8%,+6.0%,+14.7%,+16.3%,$0.33B,N/A,3.08%,N/A
EWW,iShares MSCI Mexico ETF,$80.15,75,STRONG BUY,5,63.3,Bear,44.7,78.0,1.08x,+25.5%,19.6%,2.96,-5.6%,+7.4%,+24.0%,+33.4%,$2.11B,N/A,3.21%,N/A
EWT,iShares MSCI Taiwan ETF,$72.98,75,STRONG BUY,5,68.4,Bear,34.8,86.4,0.56x,+19.2%,20.7%,2.34,-8.1%,+9.7%,+20.9%,+27.0%,$7.68B,N/A,4.02%,N/A
COPX,Global X Copper Miners ETF,$86.66,75,STRONG BUY,5,53.6,Bear,29.6,29.4,0.44x,+84.6%,39.5%,3.50,-13.7%,+5.4%,+47.9%,+92.5%,$7.26B,N/A,2.22%,N/A
PICK,iShares MSCI Global Metals & M,$60.63,75,STRONG BUY,5,57.5,Bear,37.8,52.2,0.20x,+46.3%,25.1%,3.53,-7.3%,+7.1%,+35.4%,+54.2%,$1.79B,N/A,1.67%,N/A
EWJ,iShares MSCI Japan ETF,$91.38,75,STRONG BUY,5,63.5,Bear,33.0,69.3,0.81x,+10.6%,17.1%,1.97,-5.9%,+9.1%,+14.9%,+18.5%,$16.69B,N/A,4.27%,N/A
COLO,Global X MSCI Colombia ETF,$40.95,75,STRONG BUY,5,52.4,Bear,25.4,31.0,0.71x,+29.1%,20.2%,3.15,-8.6%,-0.7%,+16.0%,+37.0%,$0.15B,N/A,6.36%,N/A
