Ticker,Name,Price,Score,Signal,Strength,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,AUM,Expense,Yield,Beta
EWJ,iShares MSCI Japan ETF,$93.10,95,STRONG BUY,5,78.2,Bear,27.3,95.1,2.18x,14.70%,17.00%,2.52,-5.90%,9.20%,15.40%,21.90%,$16.69B,N/A,4.27%,N/A
EWZS,iShares MSCI Brazil Small-Cap ,$15.24,85,STRONG BUY,5,64,Bear,29.9,69.6,0.34x,16.80%,27.30%,1.77,-12.00%,11.90%,12.50%,21.70%,$0.22B,N/A,3.38%,N/A
EWC,iShares MSCI Canada ETF,$56.72,85,STRONG BUY,5,63.1,Bull,21.5,89.3,1.08x,11.60%,13.90%,2.67,-4.20%,3.00%,12.40%,20.40%,$4.02B,N/A,1.44%,N/A
EWW,iShares MSCI Mexico ETF,$80.48,85,STRONG BUY,5,68.6,Bear,42.6,91.3,0.61x,23.80%,19.60%,2.94,-5.60%,11.70%,20.80%,31.60%,$2.11B,N/A,3.21%,N/A
ENZL,iShares MSCI New Zealand ETF,$48.00,80,STRONG BUY,5,67.5,Bear,23.3,86.7,2.94x,-3.30%,11.60%,0.92,-7.50%,4.10%,6.40%,6.50%,$0.07B,N/A,2.15%,N/A
EWZ,iShares MSCI Brazil ETF,$38.32,80,STRONG BUY,5,68.7,Bear,40.4,83.6,0.64x,34.00%,23.30%,3.13,-8.10%,16.40%,21.20%,39.70%,$8.75B,N/A,4.45%,N/A
ECH,iShares MSCI Chile ETF,$44.54,80,STRONG BUY,5,50.4,Bear,35.3,7.8,1.33x,32.60%,22.20%,3.18,-7.40%,1.50%,23.10%,39.80%,$1.32B,N/A,1.79%,N/A
IAU,iShares Gold Trust,$94.71,75,STRONG BUY,5,57.4,Bear,36.5,45.7,0.40x,40.50%,28.60%,2.91,-13.80%,9.50%,22.30%,50.10%,$79.75B,N/A,N/A,N/A
EWL,iShares MSCI Switzerland ETF,$63.43,75,STRONG BUY,5,66.4,Bear,21.3,88.2,1.04x,9.80%,12.80%,2.66,-4.70%,4.60%,12.50%,17.90%,$1.66B,N/A,1.66%,N/A
EWH,iShares MSCI Hong Kong ETF,$23.67,75,STRONG BUY,5,65.8,Bear,35.4,86.6,0.64x,6.90%,16.20%,1.84,-6.50%,5.10%,8.20%,15.30%,$0.72B,N/A,4.71%,N/A
TUR,iShares MSCI Turkey ETF,$40.97,75,STRONG BUY,5,66.2,Bear,45.6,72.1,0.97x,9.30%,20.50%,1.68,-11.30%,9.10%,23.40%,19.80%,$0.35B,N/A,1.99%,N/A
COPX,Global X Copper Miners ETF,$88.23,75,STRONG BUY,5,57.4,Bear,34.8,37.7,0.31x,89.00%,38.80%,3.69,-13.70%,10.20%,44.40%,94.20%,$7.26B,N/A,2.22%,N/A
URA,Global X Uranium ETF,$53.50,75,STRONG BUY,5,51.5,Bear,32.2,33.3,0.48x,32.00%,54.20%,1.51,-28.40%,3.40%,14.60%,38.70%,$7.73B,N/A,3.73%,N/A
PICK,iShares MSCI Global Metals & M,$60.99,75,STRONG BUY,5,61.9,Bear,42.5,57.6,0.71x,46.50%,24.50%,3.68,-7.30%,9.70%,34.20%,53.10%,$1.79B,N/A,1.67%,N/A
EPHE,iShares MSCI Philippines ETF,$26.93,75,STRONG BUY,5,63,Bull,25.8,96.5,0.45x,-5.80%,17.80%,0.38,-13.10%,2.00%,14.50%,2.20%,$0.16B,N/A,2.01%,N/A
COLO,Global X MSCI Colombia ETF,$41.66,75,STRONG BUY,5,58.2,Bear,34.5,48.1,0.94x,31.40%,19.40%,3.53,-8.60%,7.70%,16.90%,40.40%,$0.15B,N/A,6.36%,N/A
EWP,iShares MSCI Spain ETF,$57.11,75,STRONG BUY,5,60.2,Bear,27,83.5,0.40x,13.50%,14.50%,2.8,-6.00%,3.90%,13.00%,22.20%,$1.88B,N/A,2.17%,N/A
EWT,iShares MSCI Taiwan ETF,$71.44,75,STRONG BUY,5,67.4,Bear,31.5,93.1,0.54x,14.50%,20.50%,2.1,-8.10%,7.20%,13.60%,22.30%,$7.68B,N/A,4.02%,N/A
EEM,iShares MSCI Emerging Markets ,$60.60,75,STRONG BUY,5,66.1,Bear,33.8,87.2,0.71x,15.20%,15.10%,2.87,-5.20%,4.60%,10.70%,23.20%,$26.95B,N/A,2.05%,N/A
EZU,iShares MSCI Eurozone ETF,$68.20,75,STRONG BUY,5,64,Bull,24.9,87.7,1.08x,6.50%,12.30%,2.32,-5.80%,2.80%,10.10%,14.90%,$9.56B,N/A,2.75%,N/A
EWY,iShares MSCI South Korea ETF,$124.45,70,STRONG BUY,5,66.6,Bear,48.5,81.6,0.70x,64.80%,28.80%,3.94,-12.20%,14.20%,33.00%,71.70%,$12.20B,N/A,1.64%,N/A
EWD,iShares MSCI Sweden ETF,$54.17,65,BUY,4,64.9,Bear,30.5,90.6,0.74x,11.80%,15.20%,2.48,-7.80%,6.40%,14.90%,19.20%,$0.33B,N/A,3.08%,N/A
GREK,Global X MSCI Greece ETF,$74.54,65,BUY,4,60.6,Bear,43.1,52.8,1.05x,6.40%,17.70%,1.64,-7.10%,7.30%,19.50%,14.70%,$0.34B,N/A,3.09%,N/A
EWG,iShares MSCI Germany ETF,$44.22,65,BUY,4,60.5,Bull,14.8,88.6,0.52x,-4.00%,12.70%,0.74,-8.80%,0.90%,8.00%,4.90%,$1.76B,N/A,1.58%,N/A
EWQ,iShares MSCI France ETF,$46.83,65,BUY,4,63.3,Bear,16.1,87.8,0.72x,1.70%,13.20%,1.51,-5.20%,1.60%,6.50%,9.70%,$0.39B,N/A,2.60%,N/A
EWN,iShares MSCI Netherlands ETF,$63.07,65,BUY,4,60.5,Bear,24.8,73.9,0.49x,15.60%,16.80%,2.63,-7.00%,3.30%,11.80%,23.60%,$0.36B,N/A,4.60%,N/A
EWK,iShares MSCI Belgium ETF,$26.97,65,BUY,4,75.5,Bear,47.9,91.6,0.97x,11.00%,11.40%,3.15,-4.20%,8.80%,13.70%,20.00%,$0.03B,N/A,1.61%,N/A
EWI,iShares MSCI Italy ETF,$57.32,65,BUY,4,62.4,Bear,24.8,88.5,0.62x,6.70%,14.00%,2.07,-6.10%,3.60%,9.30%,14.70%,$0.72B,N/A,2.72%,N/A
EWA,iShares MSCI Australia ETF,$28.64,60,BUY,4,65.4,Bear,38,87.5,1.18x,-0.20%,14.20%,1.18,-9.50%,8.30%,8.70%,8.00%,$1.28B,N/A,3.04%,N/A
EWS,iShares MSCI Singapore ETF,$28.58,55,WEAK BUY,3,57.4,Bear,14.2,59.7,0.71x,-0.70%,14.10%,1.12,-7.30%,0.60%,2.10%,5.30%,$0.77B,N/A,3.99%,N/A
ARGT,Global X MSCI Argentina ETF,$95.77,55,WEAK BUY,3,51.9,Bear,15.6,34.9,0.48x,4.30%,44.10%,0.75,-21.60%,1.40%,6.20%,12.00%,$0.88B,N/A,0.78%,N/A
EWS,iShares MSCI Singapore ETF,$28.58,55,WEAK BUY,3,57.4,Bear,14.2,59.7,0.71x,-0.70%,14.10%,1.12,-7.30%,0.60%,2.10%,5.30%,$0.77B,N/A,3.99%,N/A
VNM,VanEck Vietnam ETF,$18.08,50,HOLD,0,38.5,Bear,18.8,11.8,0.58x,-4.60%,26.60%,0.42,-15.10%,-8.10%,8.40%,3.90%,$0.65B,N/A,0.20%,N/A
