Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
MU,"Micron Technology, Inc.",Technology,$407.85,85.14,75,STRONG BUY,6/7,True,58.4,Bear,37.5,48.0,0.36x,+224.3%,64.3%,3.97,-20.5%,+21.2%,+72.2%,+237.8%,$459.10B,38.81,$10.51,0.11%,1.50,HIGHEST CONVICTION,"Size up, trade aggressively"
LRCX,Lam Research Corporation,Technology,$239.40,82.7,85,STRONG BUY,5/7,True,60.4,Bear,33.2,73.6,0.32x,+120.8%,52.5%,3.30,-16.1%,+10.1%,+56.4%,+141.4%,$300.69B,49.06,$4.88,0.42%,1.78,STRONG EDGE,Standard position size
ROST,"Ross Stores, Inc.",Consumer Cyclical,$196.04,77.68,75,STRONG BUY,7/7,True,65.9,Bear,31.8,90.9,0.11x,+26.8%,20.9%,2.57,-5.4%,+1.2%,+21.4%,+34.1%,$63.76B,30.68,$6.39,0.81%,0.99,STRONG EDGE,Standard position size
MNST,Monster Beverage Corporat,Consumer Defensive,$81.76,72.82,75,STRONG BUY,6/7,True,59.7,Bear,33.5,65.2,0.14x,+23.2%,20.5%,2.36,-5.6%,+4.9%,+15.0%,+26.5%,$79.88B,46.45,$1.76,N/A,0.45,MODERATE EDGE,"Smaller position, tighter stop"
TSM,Taiwan Semiconductor Manu,Technology,$367.57,70.57,70,STRONG BUY,5/7,True,66.5,Bear,22.0,79.6,0.33x,+48.9%,34.5%,2.57,-10.5%,+7.6%,+30.6%,+54.8%,$1906.74B,34.91,$10.53,N/A,1.27,MODERATE EDGE,"Smaller position, tighter stop"
KEYS,"Keysight Technologies, In",Technology,$235.10,70.29,80,STRONG BUY,5/7,True,63.9,Bear,30.1,74.5,0.15x,+33.9%,30.9%,2.16,-10.5%,+9.6%,+31.8%,+43.9%,$40.39B,46.74,$5.03,N/A,1.20,MODERATE EDGE,"Smaller position, tighter stop"
GILD,"Gilead Sciences, Inc.",Healthcare,$155.78,69.11,65,BUY,6/7,True,71.0,Bear,47.1,92.4,0.19x,+27.2%,26.1%,2.13,-7.0%,+28.5%,+25.2%,+33.4%,$193.37B,22.95,$6.79,2.08%,0.39,MODERATE EDGE,"Smaller position, tighter stop"
ON,ON Semiconductor Corporat,Technology,$70.98,68.96,65,BUY,7/7,True,70.1,Bear,28.7,83.5,0.19x,+32.5%,45.1%,1.56,-18.5%,+17.8%,+47.5%,+38.9%,$28.56B,244.76,$0.29,N/A,1.54,MODERATE EDGE,"Smaller position, tighter stop"
REGN,Regeneron Pharmaceuticals,Healthcare,$801.76,68.15,60,BUY,6/7,True,61.3,Bear,13.3,98.1,0.23x,+38.9%,34.8%,2.16,-12.0%,+8.1%,+15.5%,+38.5%,$84.76B,19.34,$41.46,0.45%,0.41,MODERATE EDGE,"Smaller position, tighter stop"
FANG,"Diamondback Energy, Inc.",Energy,$168.74,67.37,75,STRONG BUY,6/7,True,62.8,Bear,32.1,89.6,0.17x,+18.0%,29.4%,1.43,-12.4%,+11.9%,+16.9%,+21.2%,$48.35B,11.84,$14.25,2.39%,0.58,MODERATE EDGE,"Smaller position, tighter stop"
MAR,"Marriott International, I",Consumer Cyclical,$356.98,67.22,70,STRONG BUY,5/7,True,72.1,Bear,30.1,77.7,0.18x,+28.7%,27.1%,2.15,-7.4%,+9.6%,+24.5%,+35.3%,$94.59B,37.50,$9.52,0.74%,1.10,MODERATE EDGE,"Smaller position, tighter stop"
PCAR,PACCAR Inc,Industrials,$126.62,67.12,75,STRONG BUY,5/7,True,60.5,Bear,40.0,68.0,0.18x,+24.3%,26.0%,1.97,-9.6%,+4.1%,+33.2%,+31.3%,$66.53B,28.08,$4.51,1.06%,1.04,MODERATE EDGE,"Smaller position, tighter stop"
COST,Costco Wholesale Corporat,Consumer Defensive,$1020.74,66.22,80,STRONG BUY,7/7,True,68.8,Bull,32.8,100.0,0.38x,+0.3%,19.3%,0.45,-14.4%,+6.8%,+10.5%,+5.3%,$453.17B,54.64,$18.68,0.51%,1.01,MODERATE EDGE,"Smaller position, tighter stop"
VRTX,Vertex Pharmaceuticals In,Healthcare,$496.60,64.47,70,STRONG BUY,5/7,True,64.3,Bull,15.9,97.8,0.53x,+21.2%,26.4%,1.75,-9.3%,+13.1%,+14.3%,+26.4%,$127.32B,32.46,$15.30,N/A,0.32,WEAK EDGE,Paper trade or skip
MCHP,Microchip Technology Inco,Technology,$79.01,62.92,75,STRONG BUY,6/7,True,58.8,Bear,33.7,56.5,0.24x,+17.8%,43.7%,1.07,-29.1%,+6.1%,+45.5%,+22.2%,$42.76B,N/A,$-0.30,2.31%,1.44,WEAK EDGE,Paper trade or skip
GOOG,Alphabet Inc.,Communication Servic,$307.11,61.89,70,STRONG BUY,3/7,False,33.0,Bear,28.5,6.9,0.32x,+47.2%,28.2%,3.00,-11.0%,-7.8%,+10.1%,+50.1%,$3715.53B,28.44,$10.80,0.27%,1.09,WEAK EDGE,Paper trade or skip
MRNA,"Moderna, Inc.",Healthcare,$44.03,60.56,75,STRONG BUY,3/7,False,57.9,Bear,31.8,50.8,0.53x,+59.5%,70.0%,1.71,-22.7%,+11.9%,+76.4%,+57.2%,$17.21B,N/A,$-8.06,N/A,1.34,WEAK EDGE,Paper trade or skip
MDLZ,"Mondelez International, I",Consumer Defensive,$62.12,58.27,60,BUY,7/7,True,74.5,Bear,30.0,92.1,0.19x,-2.6%,19.7%,0.16,-18.6%,+8.4%,+10.0%,+1.8%,$80.16B,32.87,$1.89,3.14%,0.40,WEAK EDGE,Paper trade or skip
INTC,Intel Corporation,Technology,$47.24,57.56,50,HOLD,3/7,False,51.6,Bear,19.0,49.3,0.25x,+108.3%,71.8%,2.41,-21.8%,-2.2%,+31.6%,+92.3%,$235.92B,N/A,$-0.06,N/A,1.38,WEAK EDGE,Paper trade or skip
HOLX,"Hologic, Inc.",Healthcare,$75.07,57.47,75,STRONG BUY,4/7,True,55.6,Bull,15.2,66.3,0.21x,+4.6%,17.9%,0.91,-7.9%,+0.1%,+1.1%,+10.7%,$16.76B,31.15,$2.41,N/A,0.73,WEAK EDGE,Paper trade or skip
ZUMZ,Zumiez Inc.,Consumer Cyclical,$24.87,56.71,70,STRONG BUY,3/7,False,47.9,Bull,26.5,67.5,0.21x,+51.4%,47.0%,2.05,-21.6%,-3.8%,+9.6%,+60.6%,$0.42B,60.66,$0.41,N/A,0.89,WEAK EDGE,Paper trade or skip
ZM,"Zoom Communications, Inc.",Technology,$92.39,55.93,70,STRONG BUY,3/7,False,55.1,Bear,16.5,50.0,0.30x,+23.4%,38.9%,1.38,-10.3%,+13.3%,+9.9%,+26.3%,$27.65B,17.97,$5.14,N/A,0.90,WEAK EDGE,Paper trade or skip
ODFL,Old Dominion Freight Line,Industrials,$192.66,55.87,65,BUY,4/7,True,59.2,Bear,38.7,58.5,0.15x,+21.8%,37.6%,1.35,-20.5%,+8.1%,+42.5%,+28.0%,$40.49B,39.81,$4.84,0.60%,1.27,WEAK EDGE,Paper trade or skip
FTNT,"Fortinet, Inc.",Technology,$85.16,53.32,70,STRONG BUY,4/7,True,58.1,Bear,22.6,69.6,0.21x,+3.1%,29.7%,0.55,-13.9%,+11.6%,+5.1%,+7.6%,$65.26B,35.19,$2.42,N/A,1.05,NO EDGE,Do not trade
NXPI,NXP Semiconductors N.V.,Technology,$240.97,53.05,65,BUY,5/7,True,56.2,Bear,19.2,68.8,0.09x,+1.2%,37.5%,0.41,-22.6%,+1.0%,+20.3%,+6.3%,$60.75B,30.35,$7.94,1.67%,1.46,NO EDGE,Do not trade
RULE,Adaptive Core ETF,N/A,$25.14,51.62,65,BUY,3/7,False,53.5,Bear,20.6,42.9,0.00x,+6.0%,17.9%,1.06,-8.0%,+2.1%,+11.1%,+11.5%,N/A,29.53,N/A,N/A,N/A,NO EDGE,Do not trade
