Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
COST,Costco Wholesale Corporat,Consumer Defensive,$1016.04,66.01,80,STRONG BUY,7/7,True,67.9,Bull,32.7,99.1,0.31x,+0.1%,19.2%,0.41,-14.4%,+6.3%,+10.0%,+4.8%,$451.08B,54.39,$18.68,0.51%,1.01
LRCX,Lam Research Corporation,Technology,$241.22,81.3,80,STRONG BUY,5/7,True,61.2,Bear,33.2,77.5,0.28x,+122.8%,52.6%,3.32,-16.1%,+10.9%,+57.6%,+143.3%,$302.98B,49.43,$4.88,0.42%,1.78
KEYS,"Keysight Technologies, In",Technology,$234.70,70.25,80,STRONG BUY,5/7,True,63.7,Bear,30.1,73.1,0.10x,+33.9%,30.9%,2.15,-10.5%,+9.4%,+31.6%,+43.6%,$40.33B,46.66,$5.03,N/A,1.20
HOLX,"Hologic, Inc.",Healthcare,$75.06,57.49,75,STRONG BUY,4/7,True,55.2,Bull,15.2,64.5,0.17x,+4.8%,17.9%,0.91,-7.9%,+0.0%,+1.1%,+10.7%,$16.76B,31.14,$2.41,N/A,0.73
FANG,"Diamondback Energy, Inc.",Energy,$168.64,67.38,75,STRONG BUY,6/7,True,62.7,Bear,32.1,89.1,0.16x,+18.2%,29.4%,1.43,-12.4%,+11.8%,+16.8%,+21.1%,$48.32B,11.83,$14.25,2.39%,0.58
MRNA,"Moderna, Inc.",Healthcare,$42.85,59.83,75,STRONG BUY,3/7,False,55.4,Bear,31.8,42.7,0.43x,+55.4%,69.3%,1.64,-22.7%,+8.9%,+71.7%,+52.9%,$16.82B,N/A,$-8.06,N/A,1.34
MCHP,Microchip Technology Inco,Technology,$78.74,62.84,75,STRONG BUY,6/7,True,58.2,Bear,33.7,53.8,0.22x,+17.7%,43.8%,1.06,-29.1%,+5.8%,+45.0%,+21.7%,$42.60B,N/A,$-0.30,2.31%,1.44
MU,"Micron Technology, Inc.",Technology,$408.76,85.17,75,STRONG BUY,6/7,True,58.7,Bear,37.5,49.0,0.32x,+225.3%,64.2%,3.98,-20.5%,+21.4%,+72.6%,+238.5%,$460.16B,38.90,$10.51,0.11%,1.50
MNST,Monster Beverage Corporat,Consumer Defensive,$81.96,72.97,75,STRONG BUY,6/7,True,60.5,Bear,33.5,70.9,0.11x,+23.7%,20.5%,2.38,-5.6%,+5.2%,+15.3%,+26.8%,$80.07B,46.57,$1.76,N/A,0.45
ROST,"Ross Stores, Inc.",Consumer Cyclical,$194.93,77.41,75,STRONG BUY,7/7,True,64.1,Bear,31.8,81.9,0.09x,+26.3%,20.9%,2.52,-5.4%,+0.6%,+20.7%,+33.3%,$63.39B,30.50,$6.39,0.81%,0.99
PCAR,PACCAR Inc,Industrials,$126.41,67.08,75,STRONG BUY,5/7,True,60.0,Bear,40.0,66.6,0.14x,+24.3%,26.0%,1.96,-9.6%,+4.0%,+32.9%,+31.1%,$66.42B,28.03,$4.51,1.06%,1.04
CSCO,"Cisco Systems, Inc.",Technology,$74.82,40.4,70,STRONG BUY,2/7,False,40.2,Bear,36.3,9.5,0.35x,+3.5%,28.3%,0.58,-13.8%,-0.6%,-2.8%,+14.3%,$295.62B,26.91,$2.78,2.19%,0.86
GOOG,Alphabet Inc.,Communication Servic,$306.52,61.8,70,STRONG BUY,3/7,False,32.7,Bear,28.5,5.7,0.20x,+47.2%,28.2%,2.98,-11.1%,-8.0%,+9.9%,+49.8%,$3708.03B,28.38,$10.80,0.27%,1.09
MAR,"Marriott International, I",Consumer Cyclical,$357.20,67.28,70,STRONG BUY,5/7,True,72.2,Bear,30.1,78.1,0.14x,+29.1%,27.1%,2.16,-7.4%,+9.6%,+24.6%,+35.4%,$94.65B,37.52,$9.52,0.74%,1.10
VRTX,Vertex Pharmaceuticals In,Healthcare,$494.49,64.36,70,STRONG BUY,5/7,True,63.6,Bull,15.9,92.9,0.45x,+20.9%,26.2%,1.74,-9.3%,+12.7%,+13.8%,+25.9%,$126.78B,32.32,$15.30,N/A,0.32
WERN,"Werner Enterprises, Inc.",Industrials,$33.07,44.32,70,STRONG BUY,2/7,False,46.2,Bear,30.6,27.1,0.09x,+12.5%,39.9%,0.91,-21.3%,-1.4%,+34.8%,+19.2%,$1.98B,N/A,$-0.24,1.72%,1.07
PSTG,"Pure Storage, Inc.",Technology,$73.68,49.81,70,STRONG BUY,4/7,True,53.2,Bear,10.2,75.3,0.17x,+19.7%,77.0%,0.90,-34.9%,+1.8%,-12.2%,+25.7%,$24.33B,193.88,$0.38,N/A,1.27
FTNT,"Fortinet, Inc.",Technology,$84.86,53.21,70,STRONG BUY,4/7,True,57.5,Bear,22.6,67.0,0.17x,+3.0%,29.7%,0.53,-13.9%,+11.2%,+4.7%,+7.3%,$65.01B,35.06,$2.42,N/A,1.05
ILMN,"Illumina, Inc.",Healthcare,$116.60,39.78,70,STRONG BUY,2/7,False,30.2,Bear,36.1,9.7,0.14x,+11.3%,53.1%,0.74,-25.7%,-19.8%,-2.8%,+16.5%,$17.90B,21.37,$5.45,N/A,1.45
ODFL,Old Dominion Freight Line,Industrials,$192.00,55.79,65,BUY,4/7,True,58.7,Bear,38.7,56.8,0.12x,+21.6%,37.5%,1.34,-20.5%,+7.7%,+42.0%,+27.5%,$40.35B,39.67,$4.84,0.60%,1.27
RULE,Adaptive Core ETF,N/A,$25.14,51.65,65,BUY,3/7,False,53.5,Bear,20.6,42.9,0.00x,+6.3%,17.9%,1.06,-8.0%,+2.1%,+11.1%,+11.5%,N/A,29.53,N/A,N/A,N/A
NXPI,NXP Semiconductors N.V.,Technology,$241.03,53.09,65,BUY,5/7,True,56.2,Bear,19.2,68.9,0.07x,+1.5%,37.5%,0.41,-22.6%,+1.0%,+20.3%,+6.3%,$60.77B,30.36,$7.94,1.67%,1.46
ON,ON Semiconductor Corporat,Technology,$71.08,69.04,65,BUY,7/7,True,70.2,Bear,28.7,84.1,0.16x,+33.0%,45.1%,1.56,-18.5%,+17.9%,+47.7%,+39.1%,$28.60B,245.12,$0.29,N/A,1.54
GILD,"Gilead Sciences, Inc.",Healthcare,$155.53,69.07,65,BUY,6/7,True,70.8,Bear,47.1,91.1,0.16x,+27.2%,26.1%,2.12,-7.0%,+28.3%,+25.0%,+33.2%,$193.01B,22.91,$6.79,2.08%,0.39
HSAI,Hesai Group,Consumer Cyclical,$25.41,36.06,65,BUY,3/7,False,50.5,Bear,22.6,48.8,0.10x,+5.0%,74.0%,0.57,-49.6%,-11.2%,+28.4%,-0.7%,$4.08B,55.23,$0.46,N/A,1.15
TSM,Taiwan Semiconductor Manu,Technology,$368.52,72.78,65,BUY,6/7,True,67.1,Bear,22.0,81.2,0.29x,+49.5%,34.5%,2.58,-10.5%,+7.9%,+30.9%,+55.2%,$1910.71B,34.99,$10.53,N/A,1.27
TECH,Bio-Techne Corporation,Healthcare,$59.85,37.27,60,BUY,2/7,False,37.2,Bear,22.8,15.2,0.21x,+5.7%,38.9%,0.61,-16.6%,-14.5%,-1.3%,+12.0%,$9.36B,112.92,$0.53,0.54%,1.47
ZM,"Zoom Communications, Inc.",Technology,$91.29,52.54,60,BUY,3/7,False,52.8,Bear,16.5,39.4,0.26x,+22.1%,39.0%,1.32,-10.3%,+12.0%,+8.6%,+24.8%,$27.32B,17.76,$5.14,N/A,0.90
REGN,Regeneron Pharmaceuticals,Healthcare,$798.41,68.02,60,BUY,6/7,True,60.5,Bear,13.3,93.4,0.19x,+38.6%,34.8%,2.14,-12.0%,+7.6%,+15.0%,+37.9%,$84.41B,19.26,$41.46,0.45%,0.41
KLAC,KLA Corporation,Technology,$1486.02,53.69,60,BUY,3/7,False,54.7,Bear,16.2,49.2,0.18x,+53.1%,49.2%,2.03,-22.4%,-3.8%,+28.1%,+70.5%,$195.25B,43.21,$34.39,0.51%,1.46
MDLZ,"Mondelez International, I",Consumer Defensive,$61.99,58.19,60,BUY,7/7,True,74.1,Bear,30.0,89.8,0.15x,-2.6%,19.7%,0.14,-18.6%,+8.2%,+9.8%,+1.6%,$79.99B,32.80,$1.89,3.14%,0.40
GS,"The Goldman Sachs Group, ",Financial Services,$895.28,42.95,60,BUY,1/7,False,42.7,Bear,19.8,26.4,0.46x,+17.4%,26.5%,1.51,-8.8%,-8.3%,+11.7%,+23.8%,$271.02B,17.46,$51.29,1.55%,1.31
CRWD,"CrowdStrike Holdings, Inc",Technology,$425.05,32.13,60,BUY,3/7,False,45.0,Bull,27.1,44.8,0.28x,-5.7%,39.4%,0.06,-32.4%,-6.6%,-19.8%,-0.7%,$107.20B,N/A,$-1.28,N/A,1.03
FAST,Fastenal Company,Industrials,$45.76,44.96,55,WEAK BUY,5/7,True,56.2,Bear,25.5,52.8,0.16x,-10.0%,25.1%,-0.44,-21.9%,+5.7%,+12.9%,-5.4%,$52.53B,41.98,$1.09,1.92%,0.89
DXCM,"DexCom, Inc.",Healthcare,$70.93,38.22,55,WEAK BUY,4/7,True,53.1,Bear,26.2,64.6,0.55x,-15.3%,42.8%,-0.38,-33.3%,+2.4%,+18.8%,-12.4%,$27.81B,33.93,$2.09,N/A,1.49
CHTR,"Charter Communications, I",Communication Servic,$238.22,45.57,55,WEAK BUY,6/7,True,66.6,Bear,36.6,84.0,0.12x,-15.5%,34.7%,-0.58,-35.3%,+22.4%,+16.3%,-11.0%,$30.83B,6.58,$36.21,N/A,1.05
ISRG,"Intuitive Surgical, Inc.",Healthcare,$491.10,36.55,55,WEAK BUY,3/7,False,37.8,Bull,35.7,36.7,0.15x,-2.2%,33.3%,0.21,-19.7%,-9.3%,-13.2%,+2.3%,$174.41B,62.56,$7.85,N/A,1.66
NVAX,"Novavax, Inc.",Healthcare,$8.73,41.56,55,WEAK BUY,4/7,True,53.5,Bear,26.9,37.7,0.12x,-5.4%,64.8%,0.24,-35.9%,+12.2%,+23.7%,-8.9%,$1.42B,4.34,$2.01,N/A,2.58
WFG,West Fraser Timber Co. Lt,Basic Materials,$73.55,44.44,55,WEAK BUY,5/7,True,59.4,Bear,35.5,62.9,0.24x,-7.3%,32.0%,-0.11,-24.5%,+6.1%,+23.0%,-1.2%,$5.77B,N/A,$-12.08,1.74%,1.27
INTC,Intel Corporation,Technology,$47.35,57.59,50,HOLD,3/7,False,51.8,Bear,19.0,50.7,0.22x,+109.1%,71.9%,2.42,-21.8%,-2.0%,+31.9%,+92.8%,$236.57B,N/A,$-0.06,N/A,1.38
AAPL,Apple Inc.,Technology,$260.15,32.45,50,HOLD,0/7,False,43.4,Bear,22.8,28.6,0.24x,+7.7%,21.7%,1.03,-13.8%,+0.8%,-4.6%,+12.5%,$3823.59B,32.93,$7.90,0.39%,1.11
NVDA,NVIDIA Corporation,Technology,$183.96,28.24,50,HOLD,1/7,False,48.5,Bear,11.6,55.1,0.34x,-2.7%,34.8%,0.19,-17.4%,-1.7%,-1.5%,+2.0%,$4478.53B,45.53,$4.04,0.02%,2.31
TSLA,"Tesla, Inc.",Consumer Cyclical,$414.50,40.01,50,HOLD,2/7,False,43.7,Bear,23.4,51.2,0.25x,+18.1%,44.6%,1.07,-18.9%,-5.5%,+3.1%,+25.4%,$1554.97B,383.69,$1.08,N/A,1.89
STZ,"Constellation Brands, Inc",Consumer Defensive,$153.82,31.33,50,HOLD,3/7,False,45.6,Bear,40.4,11.7,0.59x,-12.4%,29.5%,-0.51,-24.1%,-2.5%,+19.4%,-7.2%,$26.78B,24.19,$6.36,2.51%,0.44
MDB,"MongoDB, Inc.",Technology,$360.71,47.32,50,HOLD,2/7,False,44.5,Bear,26.4,38.9,0.17x,+69.9%,75.3%,1.76,-25.9%,-7.3%,+2.7%,+65.3%,$29.36B,N/A,$-0.82,N/A,1.39
SBUX,Starbucks Corporation,Consumer Cyclical,$95.74,45.65,50,HOLD,4/7,True,54.1,Bear,40.4,36.1,0.14x,-0.9%,28.3%,0.28,-15.2%,+2.6%,+11.6%,+6.4%,$109.08B,79.78,$1.20,2.56%,0.94
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,$96.85,38.14,45,WEAK SELL,5/7,True,54.0,Bear,24.1,53.0,0.15x,-9.7%,20.0%,-0.58,-16.2%,+3.4%,-1.5%,-4.6%,$81.75B,32.61,$2.97,N/A,0.62
PYPL,"PayPal Holdings, Inc.",Financial Services,$39.31,10.7,45,WEAK SELL,2/7,False,17.9,Bear,51.6,4.7,0.19x,-48.2%,41.8%,-2.59,-48.5%,-30.7%,-39.7%,-43.1%,$36.78B,7.27,$5.41,0.72%,1.42
NFLX,"Netflix, Inc.",Communication Servic,$76.06,14.31,45,WEAK SELL,3/7,False,24.1,Bear,30.9,7.3,0.24x,-40.9%,29.8%,-2.98,-39.9%,-13.6%,-34.1%,-38.6%,$322.64B,30.06,$2.53,N/A,1.71
TTD,"The Trade Desk, Inc.",Communication Servic,$25.75,4.93,45,WEAK SELL,1/7,False,24.9,Bear,43.4,0.0,0.22x,-56.7%,45.3%,-3.08,-53.5%,-28.9%,-39.9%,-50.6%,$12.59B,29.25,$0.88,N/A,1.09
