Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
LRCX,Lam Research Corporation,Technology,$238.81,82.67,85,STRONG BUY,5/7,True,60.2,Bear,33.2,72.4,0.31x,+120.5%,52.4%,3.29,-16.1%,+9.8%,+56.0%,+140.9%,$299.95B,48.94,$4.88,0.42%,1.78
FANG,"Diamondback Energy, Inc.",Energy,$168.22,68.77,80,STRONG BUY,6/7,True,62.3,Bear,32.1,86.6,0.17x,+17.8%,29.4%,1.41,-12.4%,+11.5%,+16.5%,+20.8%,$48.20B,11.80,$14.25,2.39%,0.58
COST,Costco Wholesale Corporat,Consumer Defensive,$1018.04,66.1,80,STRONG BUY,7/7,True,68.3,Bull,32.8,98.1,0.35x,+0.2%,19.2%,0.43,-14.4%,+6.6%,+10.2%,+5.0%,$451.97B,54.50,$18.68,0.51%,1.01
KEYS,"Keysight Technologies, In",Technology,$234.54,70.22,80,STRONG BUY,5/7,True,63.6,Bear,30.1,72.6,0.12x,+33.7%,30.9%,2.15,-10.5%,+9.3%,+31.5%,+43.5%,$40.30B,46.63,$5.03,N/A,1.20
HOLX,"Hologic, Inc.",Healthcare,$75.07,57.49,75,STRONG BUY,4/7,True,55.8,Bull,15.2,66.9,0.21x,+4.8%,17.9%,0.91,-7.9%,+0.1%,+1.1%,+10.7%,$16.76B,31.15,$2.41,N/A,0.73
MRNA,"Moderna, Inc.",Healthcare,$43.52,60.25,75,STRONG BUY,3/7,False,56.9,Bear,31.8,47.3,0.49x,+57.8%,69.6%,1.68,-22.7%,+10.6%,+74.4%,+55.3%,$17.00B,N/A,$-8.06,N/A,1.34
MCHP,Microchip Technology Inco,Technology,$78.69,62.81,75,STRONG BUY,6/7,True,58.1,Bear,33.7,53.3,0.23x,+17.5%,43.8%,1.05,-29.1%,+5.7%,+44.9%,+21.7%,$42.58B,N/A,$-0.30,2.31%,1.44
MU,"Micron Technology, Inc.",Technology,$406.31,85.08,75,STRONG BUY,6/7,True,57.9,Bear,37.5,46.3,0.35x,+223.2%,64.3%,3.96,-20.5%,+20.7%,+71.5%,+236.5%,$457.43B,38.67,$10.51,0.11%,1.50
MNST,Monster Beverage Corporat,Consumer Defensive,$81.73,72.82,75,STRONG BUY,6/7,True,59.6,Bear,33.5,64.3,0.14x,+23.3%,20.5%,2.35,-5.6%,+4.9%,+15.0%,+26.4%,$79.85B,46.44,$1.76,N/A,0.45
ON,ON Semiconductor Corporat,Technology,$70.93,71.96,75,STRONG BUY,7/7,True,70.0,Bear,28.7,83.2,0.18x,+32.6%,45.1%,1.55,-18.5%,+17.7%,+47.4%,+38.8%,$28.54B,244.60,$0.29,N/A,1.54
PCAR,PACCAR Inc,Industrials,$126.54,67.11,75,STRONG BUY,5/7,True,60.3,Bear,40.0,67.5,0.17x,+24.4%,26.0%,1.96,-9.6%,+4.1%,+33.1%,+31.3%,$66.48B,28.06,$4.51,1.06%,1.04
ROST,"Ross Stores, Inc.",Consumer Cyclical,$195.50,77.56,75,STRONG BUY,7/7,True,65.0,Bear,31.8,86.5,0.10x,+26.7%,20.9%,2.55,-5.4%,+0.9%,+21.1%,+33.7%,$63.58B,30.59,$6.39,0.81%,0.99
VRTX,Vertex Pharmaceuticals In,Healthcare,$495.57,64.42,70,STRONG BUY,5/7,True,64.0,Bull,15.9,95.4,0.50x,+21.1%,26.3%,1.75,-9.3%,+12.9%,+14.0%,+26.2%,$127.06B,32.39,$15.30,N/A,0.32
PSTG,"Pure Storage, Inc.",Technology,$72.94,49.56,70,STRONG BUY,4/7,True,52.2,Bear,10.2,69.6,0.20x,+18.4%,76.9%,0.88,-34.9%,+0.8%,-13.1%,+24.4%,$24.08B,191.95,$0.38,N/A,1.27
ZM,"Zoom Communications, Inc.",Technology,$91.82,55.73,70,STRONG BUY,3/7,False,53.9,Bear,16.5,44.6,0.28x,+22.8%,38.9%,1.35,-10.3%,+12.6%,+9.3%,+25.5%,$27.48B,17.86,$5.14,N/A,0.90
MAR,"Marriott International, I",Consumer Cyclical,$357.24,67.28,70,STRONG BUY,5/7,True,72.3,Bear,30.1,78.2,0.17x,+29.0%,27.1%,2.16,-7.4%,+9.7%,+24.6%,+35.4%,$94.66B,37.53,$9.52,0.74%,1.10
TSM,Taiwan Semiconductor Manu,Technology,$366.39,70.46,70,STRONG BUY,5/7,True,65.7,Bear,22.0,77.7,0.32x,+48.6%,34.5%,2.55,-10.5%,+7.2%,+30.2%,+54.3%,$1900.72B,34.80,$10.53,N/A,1.27
FTNT,"Fortinet, Inc.",Technology,$84.91,53.23,70,STRONG BUY,4/7,True,57.6,Bear,22.6,67.4,0.20x,+3.0%,29.7%,0.53,-13.9%,+11.3%,+4.8%,+7.3%,$65.07B,35.09,$2.42,N/A,1.05
WERN,"Werner Enterprises, Inc.",Industrials,$33.34,44.57,70,STRONG BUY,2/7,False,47.5,Bear,30.6,30.8,0.11x,+13.3%,40.0%,0.95,-21.3%,-0.6%,+35.9%,+20.2%,$2.00B,N/A,$-0.24,1.72%,1.07
CSCO,"Cisco Systems, Inc.",Technology,$75.61,43.82,70,STRONG BUY,2/7,False,42.0,Bear,36.3,14.8,0.42x,+4.5%,28.3%,0.65,-13.6%,+0.5%,-1.8%,+15.5%,$298.74B,27.20,$2.78,2.19%,0.86
GOOG,Alphabet Inc.,Communication Servic,$306.90,61.87,70,STRONG BUY,3/7,False,32.9,Bear,28.5,6.5,0.30x,+47.3%,28.2%,2.99,-11.0%,-7.9%,+10.0%,+50.0%,$3712.57B,28.42,$10.80,0.27%,1.09
