Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
LRCX,Lam Research Corporation,Technology,$238.85,82.67,85,STRONG BUY,5/7,True,60.2,Bear,33.2,72.5,0.30x,+120.9%,52.4%,3.29,-16.1%,+9.8%,+56.0%,+140.9%,$299.84B,48.92,$4.88,0.42%,1.78
HOLX,"Hologic, Inc.",Healthcare,$75.06,59.03,80,STRONG BUY,4/7,True,55.4,Bull,15.2,65.1,0.19x,+5.2%,17.9%,0.91,-7.9%,+0.1%,+1.1%,+10.7%,$16.76B,31.15,$2.41,N/A,0.73
FANG,"Diamondback Energy, Inc.",Energy,$168.34,68.85,80,STRONG BUY,6/7,True,62.4,Bear,32.1,87.4,0.16x,+18.3%,29.4%,1.42,-12.4%,+11.6%,+16.6%,+20.9%,$48.23B,11.81,$14.25,2.39%,0.58
KEYS,"Keysight Technologies, In",Technology,$233.65,70.12,80,STRONG BUY,5/7,True,62.9,Bear,30.1,69.5,0.11x,+33.6%,30.9%,2.13,-10.5%,+8.9%,+31.0%,+43.0%,$40.15B,46.45,$5.03,N/A,1.20
COST,Costco Wholesale Corporat,Consumer Defensive,$1019.71,66.24,80,STRONG BUY,7/7,True,68.6,Bull,32.8,100.0,0.33x,+0.8%,19.3%,0.44,-14.4%,+6.7%,+10.4%,+5.2%,$452.71B,54.59,$18.68,0.51%,1.01
MRNA,"Moderna, Inc.",Healthcare,$43.12,60.05,75,STRONG BUY,3/7,False,56.0,Bear,31.8,44.5,0.45x,+56.7%,69.4%,1.66,-22.7%,+9.6%,+72.8%,+53.9%,$16.85B,N/A,$-8.06,N/A,1.34
MCHP,Microchip Technology Inco,Technology,$78.49,62.78,75,STRONG BUY,6/7,True,57.5,Bear,33.7,51.3,0.23x,+17.6%,43.8%,1.04,-29.1%,+5.4%,+44.5%,+21.4%,$42.47B,N/A,$-0.30,2.31%,1.44
ILMN,"Illumina, Inc.",Healthcare,$115.97,41.18,75,STRONG BUY,2/7,False,29.2,Bear,36.1,8.1,0.15x,+11.1%,53.0%,0.72,-25.7%,-20.2%,-3.3%,+15.8%,$17.83B,21.28,$5.45,N/A,1.45
MNST,Monster Beverage Corporat,Consumer Defensive,$81.84,72.94,75,STRONG BUY,6/7,True,60.0,Bear,33.5,67.5,0.13x,+23.9%,20.5%,2.37,-5.6%,+5.0%,+15.1%,+26.6%,$79.96B,46.50,$1.76,N/A,0.45
ON,ON Semiconductor Corporat,Technology,$70.86,71.98,75,STRONG BUY,7/7,True,69.9,Bear,28.7,82.7,0.17x,+32.9%,45.1%,1.55,-18.5%,+17.6%,+47.2%,+38.7%,$28.51B,244.34,$0.29,N/A,1.54
PCAR,PACCAR Inc,Industrials,$126.28,67.08,75,STRONG BUY,5/7,True,59.8,Bear,40.0,65.7,0.15x,+24.6%,26.0%,1.95,-9.6%,+3.8%,+32.8%,+31.0%,$66.35B,28.00,$4.51,1.06%,1.04
MU,"Micron Technology, Inc.",Technology,$405.85,85.07,75,STRONG BUY,6/7,True,57.8,Bear,37.5,45.8,0.34x,+223.3%,64.3%,3.96,-20.5%,+20.6%,+71.4%,+236.1%,$456.45B,38.59,$10.51,0.11%,1.50
ROST,"Ross Stores, Inc.",Consumer Cyclical,$195.45,77.59,75,STRONG BUY,7/7,True,64.9,Bear,31.8,86.1,0.10x,+27.1%,20.9%,2.55,-5.4%,+0.9%,+21.1%,+33.7%,$63.57B,30.59,$6.39,0.81%,0.99
PSTG,"Pure Storage, Inc.",Technology,$73.04,49.65,70,STRONG BUY,4/7,True,52.3,Bear,10.2,70.4,0.18x,+19.0%,77.0%,0.88,-34.9%,+0.9%,-13.0%,+24.6%,$24.12B,192.21,$0.38,N/A,1.27
ZM,"Zoom Communications, Inc.",Technology,$92.01,55.86,70,STRONG BUY,3/7,False,54.3,Bear,16.5,46.4,0.27x,+23.5%,38.9%,1.36,-10.3%,+12.9%,+9.5%,+25.8%,$27.54B,17.90,$5.14,N/A,0.90
MAR,"Marriott International, I",Consumer Cyclical,$356.95,67.29,70,STRONG BUY,5/7,True,72.1,Bear,30.1,77.7,0.16x,+29.4%,27.1%,2.15,-7.4%,+9.6%,+24.5%,+35.3%,$94.57B,37.49,$9.52,0.74%,1.10
TSM,Taiwan Semiconductor Manu,Technology,$366.99,70.58,70,STRONG BUY,5/7,True,66.1,Bear,22.0,78.7,0.31x,+49.3%,34.5%,2.56,-10.5%,+7.4%,+30.4%,+54.5%,$1903.71B,34.86,$10.53,N/A,1.27
GOOG,Alphabet Inc.,Communication Servic,$305.20,57.99,70,STRONG BUY,2/7,False,31.9,Bear,28.5,2.8,0.29x,+46.9%,28.2%,2.95,-11.5%,-8.4%,+9.4%,+49.2%,$3692.00B,28.26,$10.80,0.27%,1.09
WERN,"Werner Enterprises, Inc.",Industrials,$33.33,44.61,70,STRONG BUY,2/7,False,47.4,Bear,30.6,30.6,0.10x,+13.7%,40.0%,0.94,-21.3%,-0.6%,+35.9%,+20.1%,$2.00B,N/A,$-0.24,1.72%,1.07
