Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
MU,"Micron Technology, Inc.",Technology,$420.97,85.18,85,STRONG BUY,6/7,True,59.3,Bear,37.0,72.8,0.68x,+256.3%,64.7%,4.35,-20.5%,+5.3%,+109.1%,+0.0%,$473.81B,40.02,$10.52,0.11%,1.50,STRONG EDGE,Standard position size
LRCX,Lam Research Corporation,Technology,$242.27,83.72,70,STRONG BUY,7/7,True,60.6,Bear,32.2,84.1,0.81x,+134.4%,51.8%,3.66,-16.1%,+11.2%,+73.8%,+0.0%,$304.30B,49.75,$4.87,0.40%,1.78,STRONG EDGE,Standard position size
KEYS,"Keysight Technologies, In",Technology,$245.00,83.5,95,STRONG BUY,7/7,True,70.8,Bear,34.6,91.0,2.24x,+42.5%,30.0%,2.75,-10.5%,+15.1%,+44.4%,+0.0%,$42.10B,48.80,$5.02,N/A,1.20,STRONG EDGE,Standard position size
MNST,Monster Beverage Corporat,Consumer Defensive,$84.69,79.75,85,STRONG BUY,7/7,True,67.3,Bear,34.8,96.3,0.95x,+30.2%,20.7%,3.02,-5.6%,+3.3%,+17.3%,+0.0%,$82.74B,48.12,$1.76,N/A,0.45,STRONG EDGE,Standard position size
MRNA,"Moderna, Inc.",Healthcare,$50.29,78.83,90,STRONG BUY,6/7,True,69.4,Bear,32.5,78.5,1.02x,+92.7%,69.5%,2.32,-22.7%,+3.2%,+124.9%,+0.0%,$19.65B,N/A,$-7.26,N/A,1.34,STRONG EDGE,Standard position size
ROST,"Ross Stores, Inc.",Consumer Cyclical,$201.89,74.37,65,BUY,7/7,True,74.0,Bear,38.7,90.7,0.76x,+31.9%,20.8%,3.13,-5.4%,+7.1%,+26.1%,+0.0%,$65.66B,31.55,$6.40,0.79%,0.99,MODERATE EDGE,"Smaller position, tighter stop"
FANG,"Diamondback Energy, Inc.",Energy,$173.82,71.58,85,STRONG BUY,7/7,True,65.0,Bear,31.1,83.3,1.26x,+14.8%,29.6%,1.36,-12.4%,+12.9%,+18.9%,+0.0%,$49.80B,12.21,$14.24,2.27%,0.58,MODERATE EDGE,"Smaller position, tighter stop"
NVAX,"Novavax, Inc.",Healthcare,$9.36,69.66,100,STRONG BUY,7/7,True,60.1,Bull,26.0,86.4,0.73x,+18.8%,61.3%,0.99,-34.9%,+2.1%,+50.5%,+0.0%,$1.52B,4.66,$2.01,N/A,2.58,MODERATE EDGE,"Smaller position, tighter stop"
TSM,Taiwan Semiconductor Manu,Technology,$370.04,65.9,60,BUY,5/7,True,65.4,Bear,16.8,83.7,0.76x,+52.3%,34.4%,2.82,-10.5%,+10.5%,+33.7%,+0.0%,$1919.21B,35.21,$10.51,5.94%,1.27,MODERATE EDGE,"Smaller position, tighter stop"
ON,ON Semiconductor Corporat,Technology,$69.47,64.62,85,STRONG BUY,5/7,True,61.2,Bear,28.5,73.5,0.45x,+30.6%,45.1%,1.58,-18.5%,+12.1%,+54.7%,+0.0%,$27.95B,239.55,$0.29,N/A,1.54,WEAK EDGE,Paper trade or skip
PCAR,PACCAR Inc,Industrials,$126.06,63.81,75,STRONG BUY,5/7,True,55.7,Bear,35.1,29.0,0.68x,+22.1%,26.0%,1.97,-9.6%,+3.6%,+31.1%,+0.0%,$66.29B,27.95,$4.51,1.03%,1.04,WEAK EDGE,Paper trade or skip
VRTX,Vertex Pharmaceuticals In,Healthcare,$481.01,63.77,80,STRONG BUY,5/7,True,56.4,Bull,18.8,53.8,0.80x,+18.0%,26.5%,1.68,-9.3%,+2.7%,+13.9%,+0.0%,$122.19B,31.44,$15.30,N/A,0.32,WEAK EDGE,Paper trade or skip
MAR,"Marriott International, I",Consumer Cyclical,$342.62,61.79,75,STRONG BUY,4/7,True,55.7,Bear,32.7,49.2,0.97x,+22.1%,26.8%,1.92,-7.4%,+7.2%,+21.3%,+0.0%,$90.79B,35.99,$9.52,0.76%,1.10,WEAK EDGE,Paper trade or skip
REGN,Regeneron Pharmaceuticals,Healthcare,$787.04,60.91,70,STRONG BUY,4/7,True,55.7,Bear,13.0,62.6,0.64x,+32.1%,34.5%,2.00,-12.0%,+4.6%,+6.9%,+0.0%,$83.21B,18.97,$41.48,0.45%,0.41,WEAK EDGE,Paper trade or skip
GOOG,Alphabet Inc.,Communication Servic,$311.69,60.86,80,STRONG BUY,3/7,False,43.0,Bear,31.4,27.8,0.71x,+43.5%,28.7%,2.91,-12.2%,-5.1%,+7.6%,+0.0%,$3770.51B,28.81,$10.82,0.26%,1.09,WEAK EDGE,Paper trade or skip
GILD,"Gilead Sciences, Inc.",Healthcare,$149.83,60.83,65,BUY,4/7,True,59.9,Bear,47.0,51.1,0.74x,+27.3%,26.2%,2.27,-7.0%,+10.2%,+20.7%,+0.0%,$185.89B,22.07,$6.79,2.09%,0.39,WEAK EDGE,Paper trade or skip
ODFL,Old Dominion Freight Line,Industrials,$193.88,59.59,75,STRONG BUY,5/7,True,57.0,Bear,35.4,40.2,0.48x,+19.5%,37.0%,1.36,-18.1%,+11.2%,+53.8%,+0.0%,$40.75B,39.98,$4.85,0.56%,1.27,WEAK EDGE,Paper trade or skip
HOLX,"Hologic, Inc.",Healthcare,$75.44,59.4,60,BUY,6/7,True,64.9,Bear,12.8,96.9,0.62x,+6.7%,17.2%,1.35,-5.6%,+0.5%,+1.8%,+0.0%,$16.84B,31.30,$2.41,N/A,0.73,WEAK EDGE,Paper trade or skip
RULE,Adaptive Core ETF,N/A,$25.59,57.79,65,BUY,5/7,True,57.4,Bear,15.8,92.1,0.16x,+8.9%,18.1%,1.51,-8.0%,+2.8%,+19.1%,+0.0%,N/A,30.06,N/A,N/A,N/A,WEAK EDGE,Paper trade or skip
NVDA,NVIDIA Corporation,Technology,$191.55,57.58,70,STRONG BUY,6/7,True,56.8,Bear,10.1,89.5,1.00x,+0.8%,34.9%,0.48,-17.4%,+2.1%,+6.0%,+0.0%,$4663.67B,47.41,$4.04,0.02%,2.31,WEAK EDGE,Paper trade or skip
AAPL,Apple Inc.,Technology,$266.18,56.76,60,BUY,5/7,True,51.3,Bear,18.6,42.6,0.67x,+11.7%,22.6%,1.47,-13.8%,+7.4%,+0.1%,+0.0%,$3912.29B,33.65,$7.91,0.39%,1.11,WEAK EDGE,Paper trade or skip
KLAC,KLA Corporation,Technology,$1487.66,55.53,55,WEAK BUY,4/7,True,54.9,Bear,13.7,87.4,0.68x,+63.9%,48.1%,2.44,-22.4%,-1.5%,+35.1%,+0.0%,$195.47B,43.30,$34.36,0.49%,1.46,WEAK EDGE,Paper trade or skip
CSCO,"Cisco Systems, Inc.",Technology,$77.74,55.19,70,STRONG BUY,4/7,True,47.0,Bear,28.4,29.2,0.85x,+11.4%,28.2%,1.21,-13.6%,+4.2%,+3.6%,+0.0%,$307.16B,27.96,$2.78,2.07%,0.86,WEAK EDGE,Paper trade or skip
SBUX,Starbucks Corporation,Consumer Cyclical,$94.78,54.23,75,STRONG BUY,5/7,True,51.5,Bear,39.6,41.4,0.76x,+6.3%,28.4%,0.88,-12.6%,-2.3%,+15.5%,+0.0%,$107.98B,78.98,$1.20,2.52%,0.94,NO EDGE,Do not trade
STZ,"Constellation Brands, Inc",Consumer Defensive,$159.42,52.22,65,BUY,6/7,True,53.9,Bear,30.1,56.3,0.77x,-6.9%,31.3%,0.01,-20.6%,+1.1%,+23.0%,+0.0%,$27.75B,24.99,$6.38,2.60%,0.44,NO EDGE,Do not trade
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,$29.77,51.15,55,WEAK BUY,6/7,True,65.0,Bear,20.1,87.1,1.25x,-8.3%,27.4%,-0.13,-14.1%,+7.2%,+10.3%,+0.0%,$40.45B,25.66,$1.16,3.11%,0.35,NO EDGE,Do not trade
MCHP,Microchip Technology Inco,Technology,$76.60,51.0,65,BUY,5/7,True,51.5,Bear,30.3,32.3,0.50x,+7.0%,43.6%,0.73,-27.5%,+2.5%,+57.7%,+0.0%,$41.45B,N/A,$-0.30,2.36%,1.44,NO EDGE,Do not trade
ZUMZ,Zumiez Inc.,Consumer Cyclical,$25.14,49.17,60,BUY,2/7,False,48.2,Bear,20.7,41.7,1.40x,+46.7%,48.5%,1.96,-21.6%,+1.0%,+14.6%,+0.0%,$0.43B,61.32,$0.41,N/A,0.89,NO EDGE,Do not trade
TMUS,"T-Mobile US, Inc.",Communication Servic,$219.95,48.6,55,WEAK BUY,7/7,True,69.0,Bear,29.7,88.0,0.71x,-17.6%,23.6%,-1.06,-27.9%,+18.2%,+5.0%,+0.0%,$246.02B,22.63,$9.72,1.76%,0.43,NO EDGE,Do not trade
