Ticker,Name,Sector,Price,EdgeScore,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta,Classification,Action
MU,"Micron Technology, Inc.",Technology,$411.66,88.23,85,STRONG BUY,6/7,True,59.6,Bear,37.5,52.1,0.80x,+224.9%,64.5%,4.00,-20.5%,+22.3%,+73.8%,+240.9%,$463.33B,39.06,$10.54,0.11%,1.50,STRONG EDGE,Standard position size
LRCX,Lam Research Corporation,Technology,$235.53,86.02,85,STRONG BUY,6/7,True,58.8,Bear,33.2,65.5,0.78x,+116.1%,52.5%,3.23,-16.1%,+8.3%,+53.9%,+137.5%,$295.83B,48.26,$4.88,0.42%,1.78,STRONG EDGE,Standard position size
ROST,"Ross Stores, Inc.",Consumer Cyclical,$196.54,79.0,75,STRONG BUY,7/7,True,66.6,Bear,31.8,94.4,0.58x,+30.0%,20.8%,2.82,-5.4%,+1.4%,+21.7%,+34.4%,$63.92B,30.66,$6.41,0.81%,0.99,STRONG EDGE,Standard position size
ON,ON Semiconductor Corporat,Technology,$72.21,72.74,75,STRONG BUY,7/7,True,71.7,Bear,28.7,91.1,0.89x,+35.8%,45.3%,1.66,-18.5%,+19.8%,+50.0%,+41.3%,$29.06B,249.00,$0.29,N/A,1.54,MODERATE EDGE,"Smaller position, tighter stop"
MNST,Monster Beverage Corporat,Consumer Defensive,$81.48,72.67,75,STRONG BUY,6/7,True,58.5,Bear,33.8,57.0,0.79x,+22.9%,20.5%,2.33,-5.6%,+4.6%,+14.6%,+26.1%,$79.61B,46.30,$1.76,N/A,0.45,MODERATE EDGE,"Smaller position, tighter stop"
KEYS,"Keysight Technologies, In",Technology,$233.51,71.62,80,STRONG BUY,5/7,True,62.8,Bear,30.0,69.1,0.76x,+37.9%,30.6%,2.38,-10.5%,+8.9%,+30.9%,+42.9%,$40.12B,46.52,$5.02,N/A,1.20,MODERATE EDGE,"Smaller position, tighter stop"
PCAR,PACCAR Inc,Industrials,$127.00,71.17,75,STRONG BUY,6/7,True,61.1,Bear,40.0,70.4,0.96x,+25.7%,26.1%,2.05,-9.6%,+4.4%,+33.6%,+31.7%,$66.73B,28.16,$4.51,1.06%,1.04,MODERATE EDGE,"Smaller position, tighter stop"
TSM,Taiwan Semiconductor Manu,Technology,$366.36,70.58,70,STRONG BUY,5/7,True,65.7,Bear,22.0,77.6,0.72x,+48.9%,34.7%,2.57,-10.5%,+7.2%,+30.2%,+54.3%,$1900.13B,34.73,$10.55,N/A,1.27,MODERATE EDGE,"Smaller position, tighter stop"
FANG,"Diamondback Energy, Inc.",Energy,$169.14,70.57,75,STRONG BUY,7/7,True,63.2,Bear,32.1,91.9,0.70x,+16.9%,29.5%,1.37,-12.4%,+12.1%,+17.1%,+21.5%,$48.46B,11.88,$14.24,2.39%,0.58,MODERATE EDGE,"Smaller position, tighter stop"
GILD,"Gilead Sciences, Inc.",Healthcare,$154.98,69.4,65,BUY,6/7,True,70.4,Bear,47.2,88.3,0.77x,+27.9%,26.1%,2.18,-7.0%,+27.8%,+24.6%,+32.7%,$192.28B,22.89,$6.77,2.08%,0.39,MODERATE EDGE,"Smaller position, tighter stop"
VRTX,Vertex Pharmaceuticals In,Healthcare,$491.47,69.33,85,STRONG BUY,5/7,True,62.6,Bull,16.2,74.9,1.77x,+21.9%,25.9%,1.83,-9.3%,+12.0%,+13.1%,+25.1%,$124.83B,32.06,$15.33,N/A,0.32,MODERATE EDGE,"Smaller position, tighter stop"
REGN,Regeneron Pharmaceuticals,Healthcare,$803.17,67.97,60,BUY,6/7,True,61.6,Bear,13.4,96.0,1.10x,+38.3%,35.0%,2.13,-12.0%,+8.3%,+15.7%,+38.8%,$84.91B,19.38,$41.44,0.45%,0.41,MODERATE EDGE,"Smaller position, tighter stop"
MAR,"Marriott International, I",Consumer Cyclical,$353.89,67.44,70,STRONG BUY,5/7,True,70.1,Bear,30.1,72.4,0.92x,+29.4%,27.1%,2.19,-7.4%,+8.6%,+23.4%,+34.1%,$93.78B,37.17,$9.52,0.74%,1.10,MODERATE EDGE,"Smaller position, tighter stop"
COST,Costco Wholesale Corporat,Consumer Defensive,$1018.48,66.33,80,STRONG BUY,7/7,True,68.4,Bull,32.9,95.2,1.05x,+0.7%,19.3%,0.47,-14.4%,+6.6%,+10.2%,+5.1%,$452.16B,54.64,$18.64,0.51%,1.01,MODERATE EDGE,"Smaller position, tighter stop"
MRNA,"Moderna, Inc.",Healthcare,$42.23,66.23,85,STRONG BUY,4/7,True,54.0,Bear,31.8,38.4,1.21x,+54.2%,69.3%,1.63,-22.7%,+7.3%,+69.2%,+50.7%,$16.50B,N/A,$-7.26,N/A,1.34,MODERATE EDGE,"Smaller position, tighter stop"
MCHP,Microchip Technology Inco,Technology,$78.56,62.67,75,STRONG BUY,6/7,True,57.7,Bear,33.7,52.0,0.72x,+16.9%,43.9%,1.03,-29.1%,+5.5%,+44.6%,+21.5%,$42.51B,N/A,$-0.30,2.31%,1.44,WEAK EDGE,Paper trade or skip
ZUMZ,Zumiez Inc.,Consumer Cyclical,$24.85,60.98,70,STRONG BUY,4/7,True,47.7,Bull,26.2,66.3,0.81x,+54.4%,47.1%,2.14,-21.6%,-3.9%,+9.5%,+60.4%,$0.42B,60.61,$0.41,N/A,0.89,WEAK EDGE,Paper trade or skip
HOLX,"Hologic, Inc.",Healthcare,$75.04,59.76,80,STRONG BUY,4/7,True,54.8,Bull,15.2,62.8,0.85x,+6.2%,17.9%,1.07,-7.9%,+0.0%,+1.1%,+10.7%,$16.75B,31.14,$2.41,N/A,0.73,WEAK EDGE,Paper trade or skip
MDLZ,"Mondelez International, I",Consumer Defensive,$62.59,59.05,60,BUY,7/7,True,76.0,Bear,30.2,96.4,0.97x,-0.4%,19.8%,0.35,-18.6%,+9.2%,+10.9%,+2.6%,$80.76B,33.12,$1.89,3.14%,0.40,WEAK EDGE,Paper trade or skip
FTNT,"Fortinet, Inc.",Technology,$85.56,58.15,70,STRONG BUY,5/7,True,58.9,Bear,22.6,73.2,1.03x,+6.7%,29.6%,0.77,-13.9%,+12.1%,+5.6%,+8.2%,$65.56B,35.36,$2.42,N/A,1.05,WEAK EDGE,Paper trade or skip
MDB,"MongoDB, Inc.",Technology,$368.40,58.0,70,STRONG BUY,3/7,False,47.0,Bull,26.4,46.1,0.85x,+76.2%,75.7%,1.87,-25.9%,-5.3%,+4.9%,+68.8%,$29.98B,N/A,$-0.85,N/A,1.39,WEAK EDGE,Paper trade or skip
GOOG,Alphabet Inc.,Communication Servic,$306.02,57.99,70,STRONG BUY,2/7,False,32.4,Bear,28.5,4.6,0.80x,+46.3%,28.3%,2.95,-11.3%,-8.1%,+9.7%,+49.6%,$3701.92B,28.34,$10.80,0.27%,1.09,WEAK EDGE,Paper trade or skip
ODFL,Old Dominion Freight Line,Industrials,$193.21,56.57,65,BUY,4/7,True,59.6,Bear,38.7,59.9,0.75x,+24.3%,37.7%,1.46,-20.5%,+8.4%,+42.9%,+28.3%,$40.61B,39.84,$4.85,0.60%,1.27,WEAK EDGE,Paper trade or skip
ZM,"Zoom Communications, Inc.",Technology,$92.60,56.31,70,STRONG BUY,3/7,False,55.5,Bear,16.5,52.1,0.73x,+24.8%,39.1%,1.44,-10.3%,+13.6%,+10.2%,+26.6%,$27.71B,18.02,$5.14,N/A,0.90,WEAK EDGE,Paper trade or skip
INTC,Intel Corporation,Technology,$46.79,55.87,50,HOLD,3/7,False,50.7,Bear,19.0,44.0,0.51x,+92.0%,71.5%,2.21,-21.8%,-3.2%,+30.3%,+90.5%,$233.72B,N/A,$-0.06,N/A,1.38,WEAK EDGE,Paper trade or skip
RULE,Adaptive Core ETF,N/A,$25.27,55.67,65,BUY,4/7,True,54.8,Bear,20.6,52.4,0.27x,+7.1%,18.0%,1.15,-8.0%,+2.6%,+11.7%,+12.1%,N/A,29.68,N/A,N/A,N/A,WEAK EDGE,Paper trade or skip
KLAC,KLA Corporation,Technology,$1464.13,53.03,60,BUY,3/7,False,53.1,Bear,16.2,43.9,0.71x,+49.8%,49.3%,1.96,-22.4%,-5.2%,+26.2%,+68.0%,$192.38B,42.55,$34.41,0.51%,1.46,NO EDGE,Do not trade
NXPI,NXP Semiconductors N.V.,Technology,$244.43,51.91,60,BUY,5/7,True,58.4,Bear,19.2,75.8,0.57x,+2.5%,37.7%,0.47,-22.6%,+2.4%,+22.0%,+7.8%,$61.62B,30.78,$7.94,1.67%,1.46,NO EDGE,Do not trade
PSTG,"Pure Storage, Inc.",Technology,$73.85,50.59,70,STRONG BUY,4/7,True,53.4,Bear,10.2,76.7,1.02x,+23.6%,77.2%,0.99,-34.9%,+2.1%,-12.0%,+26.0%,$24.38B,194.34,$0.38,N/A,1.27,NO EDGE,Do not trade
CHTR,"Charter Communications, I",Communication Servic,$239.09,49.7,55,WEAK BUY,7/7,True,67.0,Bear,36.6,85.3,0.65x,-13.2%,34.7%,-0.44,-35.3%,+22.9%,+16.7%,-10.7%,$30.94B,6.60,$36.20,N/A,1.05,NO EDGE,Do not trade
FAST,Fastenal Company,Industrials,$46.41,48.74,65,BUY,5/7,True,58.9,Bear,25.5,64.3,0.96x,-7.7%,25.3%,-0.25,-21.9%,+7.2%,+14.5%,-4.0%,$53.29B,42.58,$1.09,1.92%,0.89,NO EDGE,Do not trade
GS,"The Goldman Sachs Group, ",Financial Services,$905.14,46.88,60,BUY,2/7,False,44.8,Bear,19.8,36.4,1.00x,+18.3%,26.5%,1.58,-8.8%,-7.2%,+12.9%,+25.2%,$274.00B,17.64,$51.32,1.55%,1.31,NO EDGE,Do not trade
SBUX,Starbucks Corporation,Consumer Cyclical,$93.79,45.6,50,HOLD,4/7,True,50.8,Bear,40.3,26.6,0.77x,-1.2%,28.5%,0.27,-15.2%,+1.2%,+10.0%,+4.9%,$106.85B,78.16,$1.20,2.56%,0.94,NO EDGE,Do not trade
WERN,"Werner Enterprises, Inc.",Industrials,$33.21,44.88,70,STRONG BUY,2/7,False,46.9,Bear,30.6,29.0,0.75x,+14.4%,40.1%,0.99,-21.3%,-1.0%,+35.4%,+19.7%,$1.99B,N/A,$-0.24,1.72%,1.07,NO EDGE,Do not trade
WFG,West Fraser Timber Co. Lt,Basic Materials,$73.58,44.82,55,WEAK BUY,5/7,True,59.4,Bear,35.5,63.2,1.16x,-5.8%,32.1%,-0.01,-24.5%,+6.2%,+23.0%,-1.2%,$5.77B,N/A,$-12.08,1.74%,1.27,NO EDGE,Do not trade
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,$29.69,44.74,50,HOLD,6/7,True,67.1,Bear,19.7,87.7,0.81x,-16.8%,31.5%,-0.77,-27.5%,+6.4%,+10.9%,-13.2%,$40.34B,25.59,$1.16,3.08%,0.35,NO EDGE,Do not trade
CSCO,"Cisco Systems, Inc.",Technology,$76.85,44.54,80,STRONG BUY,1/7,False,44.9,Bear,36.3,23.2,1.56x,+8.1%,28.5%,0.88,-13.6%,+2.1%,-0.2%,+17.4%,$303.64B,27.64,$2.78,2.19%,0.86,NO EDGE,Do not trade
TECH,Bio-Techne Corporation,Healthcare,$59.93,44.52,70,STRONG BUY,3/7,False,37.8,Bear,22.7,16.6,1.39x,+7.9%,39.0%,0.72,-16.6%,-14.2%,-1.1%,+12.3%,$9.38B,113.08,$0.53,0.54%,1.47,NO EDGE,Do not trade
DXCM,"DexCom, Inc.",Healthcare,$70.02,44.51,65,BUY,5/7,True,50.7,Bear,26.2,57.3,1.82x,-16.5%,42.5%,-0.45,-33.3%,+1.1%,+17.2%,-13.5%,$27.31B,33.50,$2.09,N/A,1.49,NO EDGE,Do not trade
TSLA,"Tesla, Inc.",Consumer Cyclical,$417.44,44.17,50,HOLD,3/7,False,44.9,Bear,23.4,56.8,0.83x,+20.3%,44.7%,1.15,-18.9%,-4.8%,+3.8%,+26.3%,$1566.42B,382.97,$1.09,N/A,1.89,NO EDGE,Do not trade
CRWD,"CrowdStrike Holdings, Inc",Technology,$429.64,40.81,65,BUY,4/7,True,46.8,Bull,26.8,48.9,1.09x,-2.9%,39.7%,0.20,-32.4%,-5.6%,-18.9%,+0.4%,$108.31B,N/A,$-1.29,N/A,1.03,NO EDGE,Do not trade
NVAX,"Novavax, Inc.",Healthcare,$8.70,40.73,55,WEAK BUY,4/7,True,53.2,Bear,26.9,36.4,0.55x,-11.8%,64.4%,0.03,-35.9%,+11.8%,+23.2%,-9.2%,$1.41B,4.33,$2.01,N/A,2.58,NO EDGE,Do not trade
ILMN,"Illumina, Inc.",Healthcare,$116.81,40.12,70,STRONG BUY,2/7,False,30.6,Bear,36.1,10.2,0.78x,+12.7%,53.3%,0.79,-25.7%,-19.6%,-2.6%,+16.7%,$17.86B,21.39,$5.46,N/A,1.45,NO EDGE,Do not trade
TMUS,"T-Mobile US, Inc.",Communication Servic,$219.50,39.61,25,STRONG SELL,7/7,True,73.8,Bear,26.3,96.4,1.08x,-15.6%,23.2%,-1.03,-28.5%,+15.1%,+2.8%,-13.1%,$245.51B,22.58,$9.72,1.77%,0.43,NO EDGE,Do not trade
HSAI,Hesai Group,Consumer Cyclical,$25.75,39.42,65,BUY,3/7,False,51.9,Bear,22.6,54.8,0.38x,+6.4%,74.3%,0.60,-49.6%,-10.0%,+30.2%,+0.6%,$4.13B,55.98,$0.46,N/A,1.15,NO EDGE,Do not trade
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,$96.66,38.48,45,WEAK SELL,5/7,True,53.4,Bear,24.0,51.2,0.89x,-8.8%,20.0%,-0.49,-16.2%,+3.2%,-1.7%,-4.8%,$81.59B,32.55,$2.97,N/A,0.62,NO EDGE,Do not trade
SIRI,Sirius XM Holdings Inc.,Communication Servic,$21.29,34.55,30,STRONG SELL,5/7,True,54.1,Bear,17.3,47.2,0.53x,-11.1%,35.8%,-0.29,-17.4%,+3.1%,-0.2%,-5.2%,$7.17B,9.55,$2.23,4.98%,0.95,NO EDGE,Do not trade
TMDX,"TransMedics Group, Inc.",Healthcare,$129.84,34.46,50,HOLD,2/7,False,44.5,Bear,18.7,15.2,0.60x,-4.0%,49.2%,0.20,-19.5%,-9.6%,+12.4%,+1.8%,$4.44B,51.12,$2.54,N/A,1.98,NO EDGE,Do not trade
STZ,"Constellation Brands, Inc",Consumer Defensive,$149.30,33.35,70,STRONG BUY,2/7,False,40.8,Bear,41.0,2.5,2.38x,-14.7%,30.8%,-0.64,-23.5%,-5.3%,+15.9%,-10.0%,$25.99B,23.40,$6.38,2.51%,0.44,NO EDGE,Do not trade
PCRX,"Pacira BioSciences, Inc.",Healthcare,$21.77,30.69,40,SELL,4/7,True,50.8,Bear,24.5,75.5,0.92x,-16.9%,38.8%,-0.57,-29.6%,+5.4%,-7.8%,-12.1%,$0.94B,46.32,$0.47,N/A,0.23,NO EDGE,Do not trade
ISRG,"Intuitive Surgical, Inc.",Healthcare,$485.84,30.56,35,SELL,3/7,False,34.4,Bear,35.7,29.1,0.82x,-2.2%,33.3%,0.21,-19.7%,-10.3%,-14.1%,+1.2%,$172.54B,61.73,$7.87,N/A,1.66,NO EDGE,Do not trade
NVDA,NVIDIA Corporation,Technology,$182.81,28.05,50,HOLD,1/7,False,47.3,Bear,11.7,50.2,0.92x,-3.6%,35.0%,0.14,-17.4%,-2.3%,-2.2%,+1.3%,$4450.15B,45.24,$4.04,0.02%,2.31,NO EDGE,Do not trade
AAPL,Apple Inc.,Technology,$255.78,27.26,45,WEAK SELL,0/7,False,39.6,Bear,23.2,13.4,0.94x,+6.0%,22.1%,0.89,-13.8%,-0.8%,-6.2%,+10.7%,$3759.44B,32.38,$7.90,0.39%,1.11,NO EDGE,Do not trade
LULU,lululemon athletica inc.,Consumer Cyclical,$176.42,26.66,30,STRONG SELL,3/7,False,44.0,Bear,29.6,33.3,0.76x,-13.7%,47.2%,-0.23,-23.0%,-13.9%,+4.0%,-11.1%,$20.92B,12.27,$14.38,N/A,1.01,NO EDGE,Do not trade
SWKS,"Skyworks Solutions, Inc.",Technology,$62.10,26.38,30,STRONG SELL,4/7,True,54.3,Bear,19.3,79.2,0.65x,-19.9%,38.3%,-0.76,-32.6%,+6.2%,-7.9%,-14.9%,$9.34B,23.79,$2.61,4.64%,1.32,NO EDGE,Do not trade
DDOG,"Datadog, Inc.",Technology,$125.20,25.84,35,SELL,3/7,False,48.3,Bear,20.9,51.8,0.85x,-3.5%,58.9%,0.26,-46.6%,+3.6%,-32.7%,-1.6%,$43.90B,403.87,$0.31,N/A,1.29,NO EDGE,Do not trade
ZK,ZEEKR Intelligent Technol,Consumer Cyclical,$26.73,25.37,40,SELL,3/7,False,39.9,Bear,27.2,53.1,0.00x,-9.3%,28.2%,-0.90,-15.6%,-0.4%,-8.2%,+0.0%,$6.85B,N/A,$-1.28,N/A,N/A,NO EDGE,Do not trade
AVGO,Broadcom Inc.,Technology,$325.17,24.72,40,SELL,1/7,False,44.8,Bear,16.5,52.4,0.67x,+0.8%,48.2%,0.39,-25.3%,-5.2%,-4.2%,+6.5%,$1541.72B,68.03,$4.78,0.73%,1.22,NO EDGE,Do not trade
TCOM,Trip.com Group Limited,Consumer Cyclical,$54.43,23.39,35,SELL,3/7,False,27.7,Bear,35.1,10.3,0.91x,-13.8%,42.6%,-0.31,-31.1%,-11.2%,-27.0%,-12.7%,$35.58B,14.48,$3.76,N/A,-0.18,NO EDGE,Do not trade
IDXX,"IDEXX Laboratories, Inc.",Healthcare,$629.35,22.57,35,SELL,2/7,False,35.0,Bear,30.4,23.4,0.99x,-7.8%,32.5%,-0.14,-19.5%,-11.6%,-10.3%,-3.3%,$50.35B,48.08,$13.09,N/A,1.66,NO EDGE,Do not trade
