Ticker,Name,Sector,Price,Score,Signal,Checklist,ChecksPassed,RSI,MACD,ADX,Stoch,Vol_Ratio,Rel_Str,Volatility,Sharpe,MaxDD,1M,3M,6M,MarketCap,PE,EPS,Dividend,Beta
FANG,"Diamondback Energy, Inc.",Energy,$166.72,85,STRONG BUY,5/7,True,60.2,Bear,32.1,78.0,0.10x,+17.1%,29.4%,1.35,-12.4%,+10.5%,+15.5%,+19.7%,$47.77B,11.70,$14.25,2.39%,0.58
LRCX,Lam Research Corporation,Technology,$237.96,85,STRONG BUY,5/7,True,59.8,Bear,33.1,70.6,0.12x,+120.1%,52.4%,3.28,-16.1%,+9.4%,+55.5%,+140.0%,$298.88B,48.76,$4.88,0.42%,1.78
KEYS,"Keysight Technologies, In",Technology,$231.76,85,STRONG BUY,5/7,True,61.5,Bear,30.1,63.1,0.03x,+32.5%,30.8%,2.08,-10.5%,+8.0%,+29.9%,+41.8%,$39.82B,46.08,$5.03,N/A,1.20
GILD,"Gilead Sciences, Inc.",Healthcare,$153.27,80,STRONG BUY,5/7,True,69.0,Bear,47.1,79.7,0.06x,+25.7%,25.9%,2.02,-7.0%,+26.4%,+23.2%,+31.2%,$190.21B,22.57,$6.79,2.08%,0.39
MAR,"Marriott International, I",Consumer Cyclical,$352.11,80,STRONG BUY,5/7,True,68.3,Bear,30.1,69.4,0.06x,+27.5%,27.1%,2.05,-7.4%,+8.1%,+22.8%,+33.4%,$93.30B,36.99,$9.52,0.74%,1.10
ON,ON Semiconductor Corporat,Technology,$69.68,80,STRONG BUY,6/7,True,66.5,Bear,28.8,75.4,0.07x,+30.6%,45.2%,1.47,-18.5%,+15.6%,+44.8%,+36.4%,$28.04B,240.28,$0.29,N/A,1.54
ROST,"Ross Stores, Inc.",Consumer Cyclical,$193.68,80,STRONG BUY,6/7,True,60.5,Bear,31.8,72.0,0.04x,+25.9%,21.0%,2.46,-5.4%,-0.1%,+20.0%,+32.5%,$62.99B,30.31,$6.39,0.81%,0.99
MNST,Monster Beverage Corporat,Consumer Defensive,$80.65,75,STRONG BUY,5/7,True,54.0,Bear,33.5,32.9,0.05x,+22.1%,20.5%,2.22,-5.6%,+3.5%,+13.5%,+24.8%,$78.81B,45.83,$1.76,N/A,0.45
MRNA,"Moderna, Inc.",Healthcare,$43.49,75,STRONG BUY,3/7,False,56.8,Bear,31.8,47.1,0.24x,+58.1%,69.6%,1.68,-22.7%,+10.5%,+74.2%,+55.2%,$16.99B,N/A,$-8.06,N/A,1.34
MU,"Micron Technology, Inc.",Technology,$396.30,75,STRONG BUY,5/7,True,55.1,Bear,37.5,35.4,0.18x,+215.6%,64.6%,3.87,-20.5%,+17.7%,+67.3%,+228.2%,$446.86B,37.78,$10.51,0.11%,1.50
PCAR,PACCAR Inc,Industrials,$125.86,75,STRONG BUY,5/7,True,59.0,Bear,40.0,63.0,0.06x,+24.1%,26.0%,1.93,-9.6%,+3.5%,+32.4%,+30.6%,$66.13B,27.91,$4.51,1.06%,1.04
